godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
526,601,14.8,68
337,782,9.5,26
965,1771,-18.8,72
955,1590,-20.9,41
897,893,-6.3,56
677,644,-39.1,83
871,1109,-12.4,49
557,627,5.4,10
670,1378,14.3,93
618,1597,-37.1,93
990,1279,-28.3,27
717,1062,4.5,100
907,630,-33.2,92
431,1560,10.7,96
388,1449,-18.1,83
689,1526,-27.9,25
731,689,17.3,44
698,891,-33,39
445,1582,13.5,98
519,1362,31.2,60
981,1653,8.1,98
386,1056,6.1,42
944,1358,-18.5,28
480,699,8.7,82
747,1380,13.7,50
702,899,28.4,44
757,1619,-24.1,75
443,1097,38.3,20
809,859,7.2,68
517,1347,-21.1,68
612,1683,29.4,96
746,1728,-28.1,89
306,829,-37.2,77
782,1252,-38.5,82
824,1193,29.8,31
859,660,27.8,38
462,1272,-29.6,63
526,1254,-4.9,86
561,1500,16.5,5
768,1516,-23,79
398,1156,9,56
266,1213,35,35
605,1431,-15.1,70
992,749,28.6,90
532,1545,-0.1,27
263,1658,16.3,26
292,1357,-30,80
533,1539,35.3,13
911,1188,-14.1,43
128,836,22.7,26
789,1417,-20,59
775,1015,-7.8,57
964,713,-0.6,9
145,1687,28.7,14
674,939,34.4,54
910,1580,26.9,46
416,1727,-35.5,20
359,1344,-24.6,47
778,1266,-38.6,73
540,732,39.3,24
195,1370,-29.3,92
858,1417,30.5,14
940,856,-9.5,20
227,1464,-36.5,79
687,730,-30.2,99
747,1457,19.9,57
812,1399,0.1,68
511,1733,24.3,24
949,1789,-36.5,33
560,855,23.6,56
621,1102,-20,89
172,688,-21,41
609,907,-34.7,99
985,1578,-28.7,52
337,1558,-6.5,83
479,1011,30.4,39
290,922,-29.7,95
458,768,10.6,20
463,1145,-1.3,78
723,1626,-27.7,16
276,1105,-25.2,70
810,1555,33.9,10
197,1573,-24,53
747,671,4.3,90
135,768,41,31
105,647,33,58
192,1475,0.9,16
886,908,5.8,93
593,1488,15.9,40
347,1725,7.5,29
134,1728,-9.3,9
105,705,5.5,41
763,1296,4.1,11
178,1786,-37,83
183,1320,-23.8,79
472,1007,-17.9,30
196,1254,-8.1,27
375,721,-19.2,48
416,1535,-28.2,58
578,1718,-3.2,50
352,1369,-19,29
516,1315,4.4,56
202,1328,-14.4,35
219,1065,23.5,78
874,1283,-17.6,18
864,1679,27.2,86
755,931,39.2,92
369,765,1.3,35
852,626,13.9,53
237,1646,12.4,49
314,1383,16.8,77
660,1660,-37,40
589,1433,-25.3,45
252,1364,3.1,36
567,984,-14.3,80
397,1734,-34.6,39
536,741,28.3,32
926,1711,20.9,31
428,1020,31.3,30
654,1658,7.5,85
520,691,20.8,80
587,1513,7.4,23
512,603,-19,90
897,689,-31.9,88
448,1386,-37,92
954,1287,10.4,71
580,1225,-0.2,90
209,1044,-10.5,24
635,1664,4.8,80
829,1407,-0.2,69
872,1223,-2,98
455,1442,30.4,17
241,768,-33.2,38
579,1057,-16.7,22
665,1604,-33.5,54
104,1090,-21.3,86
271,1650,-15.7,62
172,1339,37.1,99
462,1736,38,10
551,751,19.3,47
646,790,-31,2
