godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
624,1327,21.9,21
659,1603,16.4,32
510,661,16.5,59
579,1660,19.8,6
118,1194,1,26
574,719,33.7,89
128,1052,-22.9,36
306,1164,-13.1,75
762,873,39.5,26
692,1702,18,67
676,925,3.6,18
525,623,-3.4,67
757,611,3.6,51
741,1709,40.2,97
462,793,22.3,36
566,1080,0.7,45
951,1069,-25.6,42
124,1525,1.1,42
892,1062,-13.4,62
709,780,12.5,61
796,623,19.3,31
440,697,0.7,66
459,704,-8.1,74
435,1612,6.4,9
676,1537,-4,2
579,1745,-18.3,27
616,952,32.2,73
434,1352,10.4,3
717,1712,10.7,55
571,884,24.1,69
974,1626,-1.9,75
866,1374,28.6,12
159,943,-25,41
492,1540,29.1,66
267,1274,-25.6,25
133,1085,7.6,60
694,698,21.2,4
728,906,-20,95
488,1213,12.3,15
434,1234,-36.9,29
990,757,-28.2,52
138,1530,33.6,26
473,946,40.6,68
328,1671,9.9,81
379,1793,25.1,5
326,914,-15.5,48
816,1042,-1.3,54
827,1697,-27.2,34
842,1109,15.2,93
570,1319,2.9,11
512,657,33.2,1
604,1389,-24.8,1
865,1643,-11,80
288,1441,-9.7,71
159,1675,-25.3,23
780,952,34.1,80
338,738,23,8
357,997,-20.8,81
710,1618,20.8,99
1000,1071,-17.8,3
262,709,-12.5,52
601,1703,10.8,36
603,877,-8.5,5
578,837,-29.9,38
224,901,0.3,24
103,796,20.3,72
108,1563,3,4
376,1363,-29.2,33
705,1746,21.4,30
346,1650,-5.8,85
747,640,21,12
396,1284,24.3,52
986,1050,19.7,72
763,1261,13.8,25
213,1601,29.5,44
940,1087,28.3,88
561,1243,22.7,36
164,1399,26,39
628,726,-31.3,24
152,868,30.5,22
416,1117,21.2,18
240,1428,-26,65
528,1667,32.9,73
799,1391,38.3,31
924,1585,27.4,54
620,928,26.1,50
181,1133,9,80
750,1687,4.7,15
495,1671,-6.6,25
109,772,-3.3,76
920,1539,-26.3,88
868,1611,-8.1,41
235,767,28.7,96
767,1275,20.9,61
942,797,-14.7,54
278,1520,-27.9,31
159,603,14.8,6
635,1275,-25.3,43
263,1736,-26.3,41
758,783,6.1,73
104,762,19.2,79
737,806,-19.6,65
801,910,3.2,63
683,1491,-4.8,21
172,1020,-35.2,43
934,1784,-3.3,81
412,1092,-17,14
174,1620,-8.5,68
295,1659,-29.1,84
312,816,32.7,88
996,1042,-17.6,64
699,607,-14.6,38
875,964,-2.4,50
863,1625,39.7,76
108,1078,5.2,8
272,603,-6.3,74
371,1642,40.3,62
697,1104,19.7,36
557,669,-39.4,36
863,864,-32.2,27
