godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
447,1784,-29.4,28
788,1634,20.4,2
258,666,13,86
659,1109,9.9,30
764,735,-37.6,54
814,912,-35.6,74
483,1747,32.7,50
319,972,-22.1,74
376,1233,-8.9,89
172,1755,40.1,85
986,802,32,11
248,628,-22.5,43
757,1142,-39.9,27
231,1578,8.4,31
590,728,-12.1,10
696,1140,6.6,14
183,1410,13.3,37
422,740,-34.3,11
705,809,-8.1,27
183,1270,38.7,10
966,1417,23.3,7
493,750,-35.3,54
452,753,15.2,54
946,823,8.9,46
170,1510,32.2,5
896,721,32.1,24
431,1257,-3.4,26
521,1679,-7,81
343,1552,15.9,5
574,1577,-12.4,4
975,1508,37.5,68
860,1218,16.2,65
799,933,-34.3,4
373,929,-33,28
250,1381,13.4,12
844,905,11.5,57
653,934,20.9,89
222,857,26.2,85
470,1411,-19.4,11
470,940,1.7,69
258,1362,7.8,38
437,1461,17.4,74
418,1689,0.8,6
410,1226,10.9,56
332,1415,-19.2,11
210,869,-36.2,78
468,751,-22.6,72
257,604,-10.4,59
870,1550,-6.3,40
204,833,-7.1,72
919,1741,24.6,55
259,773,-26.6,56
843,1236,12.7,79
999,1121,-30.7,53
978,1477,29.9,58
578,1792,-11.9,73
842,1125,-28.7,44
401,648,19.7,14
408,1378,-33.2,72
473,1354,8.8,49
392,1412,33.5,84
409,1495,-22,98
738,963,-0.9,46
558,658,13.4,69
533,1227,21.1,47
404,977,-0.6,85
956,913,38.3,84
832,1274,32.2,54
206,1200,31.9,56
125,1531,-29.2,43
486,1106,-36.3,38
342,1573,-20.9,91
763,1727,40.6,29
626,1656,-39.6,90
390,1561,35.9,46
905,653,0.8,80
563,1189,33.9,50
116,1422,-2.3,87
603,1038,11.8,97
781,1789,-15.2,68
685,1554,17.8,66
440,1373,-33.2,1
620,1795,-27.8,26
524,1289,-1.2,73
249,1449,24.6,70
108,705,-21.4,22
153,1098,28.1,28
465,793,-10.7,29
763,781,-3.1,81
124,1575,2.3,66
403,1118,38.6,1
397,745,24.9,48
501,1754,-12.9,89
646,1738,-23.2,9
402,1302,37.3,19
766,1753,-18.6,53
623,1074,-37.2,49
473,1075,29.5,61
683,1152,-1.2,52
907,1109,-15.5,32
536,1064,28.2,94
241,731,9,44
571,1744,-23.1,4
178,958,-37.7,66
723,1328,-13.1,63
649,1512,-2.8,96
233,1320,-21.7,71
476,1006,18.9,17
881,1443,-38.6,65
609,702,-5.1,77
734,1657,23.3,48
318,1061,25.9,25
305,1012,13.6,64
494,1534,-19,96
634,769,-31.3,80
226,791,-10.6,23
238,1648,28.2,27
697,1310,31.9,90
744,1409,27.9,94
774,1383,23.2,13
377,856,-12.7,55
379,1483,-18.8,39
346,697,17.1,73
655,1123,-4.9,11
952,845,27.4,62
182,1754,12.7,66
978,1254,-13.4,9
970,1118,3.5,82
445,1683,18,19
