godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
658,1283,-32.1,8
779,1024,-1.7,15
645,727,-23.6,79
328,893,-30.5,60
231,1672,-13.8,82
939,1753,11.4,60
333,1495,-19.9,20
496,978,-26,44
702,832,-22.4,13
674,1525,-32.7,15
130,1144,16.3,36
550,1640,-21.4,33
445,1551,31.1,3
318,1200,17,41
662,1432,3.7,95
693,1033,22.7,29
512,1249,-32.2,46
962,786,-17.8,83
704,1789,-0.1,94
697,1700,-35.9,60
1000,1694,26.4,44
658,841,34.2,80
475,820,-6.8,56
506,1482,-6.4,74
360,1136,-9.7,50
728,710,22.4,31
143,1373,18.7,40
894,766,-4.7,92
170,1434,18.1,57
218,947,4.4,41
716,1740,-25.3,37
600,1509,-15.3,88
573,819,8.4,5
545,884,-30.9,14
930,988,16.7,50
430,946,-9.7,67
183,1615,-32.9,45
743,1278,-28.4,84
249,1659,-10.2,37
821,924,10.2,74
122,786,26.2,19
588,1697,39.7,96
639,1354,9.9,65
891,1179,-4.5,63
196,847,-4,25
775,1576,10.6,15
286,1406,-35.5,31
331,1530,-28,56
282,1548,21.7,55
998,1258,-8.8,71
759,734,40.7,60
454,782,37.9,33
916,1628,-37.1,1
139,949,-38.8,55
576,853,-29.3,82
823,1283,-36.8,87
469,1147,22.2,40
812,1216,-36.4,22
514,1579,0.1,50
505,1135,38.9,59
512,1251,-29,64
232,781,25.4,46
607,1004,-38.4,5
997,1542,14.9,77
104,661,8.4,85
583,1257,27.8,99
937,1355,-18.2,14
623,1707,21.4,9
483,605,17.8,93
745,1563,-39.9,28
891,795,-13.6,2
591,1638,1.9,20
147,1778,-21.5,11
274,830,2.2,92
309,914,-16.1,36
412,1759,-27.2,1
967,1647,-9.7,58
240,901,15,83
969,1620,-29.2,76
691,965,9.1,83
186,1775,-17.9,21
444,1320,10.5,44
320,1751,-1.5,82
125,1352,38.1,53
557,1724,-8.1,41
417,822,30.5,78
466,815,-37.5,88
267,772,-1.8,9
498,654,30.7,45
377,1170,2,1
718,842,40.5,36
717,985,-15.1,57
666,757,-25.5,96
467,626,-10.8,59
998,608,-32.8,36
240,754,12.3,78
114,1329,-12.6,61
810,1684,-12.9,4
798,775,40.7,92
517,1756,5.9,52
397,722,-23.4,67
753,915,-1.7,49
380,1447,6.2,6
273,1566,32,28
