godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
156,1434,24.1,61
580,854,0.7,30
712,1732,30.2,12
620,659,39.7,22
312,1075,-16.8,25
752,1006,37.6,20
996,1282,-29,54
406,1540,-28.5,78
170,1657,22.7,27
349,1488,-29,49
821,606,-10.3,68
712,703,-21.2,65
224,1485,37.1,56
975,1570,-20.7,32
518,726,-3.7,79
953,607,-23.4,91
969,1081,-17.7,53
999,792,0.5,17
458,1067,-31.5,63
978,1553,-38.3,78
177,1253,17.1,90
556,1227,-11,22
864,1014,27.5,28
117,918,-37.2,94
140,699,2.3,56
125,1579,-23.3,7
251,935,5.4,69
275,925,10.1,32
837,1589,-15.8,19
987,714,-5.8,49
641,1426,4,73
522,1626,26.3,94
130,821,38.2,73
516,682,-38.8,84
427,960,12.7,9
888,1599,38.9,33
537,1180,-2.7,81
862,1384,-19.2,48
750,1022,-38.2,50
293,899,6.1,45
828,648,17.3,20
794,728,38.6,8
229,900,-38.7,49
521,671,-35.5,58
621,1795,34.1,55
301,869,-32.5,45
865,1475,3.6,75
149,896,-16.3,49
182,1161,17.5,50
547,705,-8.3,41
106,1120,0.3,4
608,1710,-26.6,95
405,994,-13.9,51
160,1057,26.4,20
406,1431,20.9,35
445,1733,-25.1,30
773,1523,31.8,23
753,678,-22.3,11
773,622,14.7,95
237,765,21.5,47
579,691,14.6,10
989,1673,-4.4,42
606,1153,6.8,75
457,1099,-34,87
295,918,40.8,33
826,947,-6.4,93
156,1275,-8.4,30
263,1027,32.8,9
1000,959,40.3,100
101,1798,-1.9,52
721,1490,-28.7,91
338,891,31.8,43
436,863,-15.7,82
141,1059,31,84
311,1448,23.9,91
131,1678,-1.5,19
906,693,-26.9,74
183,1075,30.6,55
635,1419,17.9,27
279,1084,30.2,40
631,846,40.6,99
807,811,30.1,4
905,685,19.3,31
396,725,-15.1,69
156,1034,32.3,77
576,1208,-3.5,37
880,1406,14.2,40
419,1570,27.1,68
250,1792,31.2,37
890,871,11.9,10
795,1668,-17.2,77
974,899,11.9,83
565,1537,-35.7,55
903,956,-32.3,98
208,644,-21.8,89
806,1099,6.1,12
118,1706,9.8,98
534,1300,-17.3,42
666,1404,38,69
327,1778,6,60
872,982,21.9,75
843,1259,-20,23
895,1624,-25.1,20
868,945,-24.7,61
606,1157,-35,67
667,755,-4.5,92
359,1488,2.1,79
731,967,-28.1,85
741,1446,-12.1,77
961,1656,34.1,85
409,1595,-31,24
553,1666,-27.9,51
688,1389,9.7,37
879,1319,-23,53
862,1279,29.9,85
445,1658,3.7,26
647,1462,-1.1,51
813,964,-5.9,49
699,1456,26.5,19
380,1315,9.3,1
161,693,-4.6,19
752,1253,-35.1,67
629,1640,6.7,2
211,866,1.3,94
102,829,31.9,22
596,1620,14.4,3
961,667,-16.7,89
596,1395,17.8,92
519,829,-39.9,78
250,1036,-5.4,43
961,652,26.4,52
833,1487,-18.2,71
848,1735,-21.1,97
620,1000,-37.9,22
249,991,-14,68
616,1417,-22.9,26
598,1205,11.9,97
460,869,-3.3,72
676,1582,-0.9,92
755,1167,-29.7,22
378,1258,32.2,18
673,1694,39.7,100
276,926,-1.1,8
657,758,22.2,12
363,1264,20.7,68
569,967,-17.2,23
534,766,22.8,4
790,763,-12.8,6
169,1534,33.3,47
194,1631,-28.5,12
441,1536,10.7,71
242,1190,32.1,43
414,684,30,28
402,1756,-12.2,92
712,781,-17.5,31
548,1386,34.9,34
708,1150,-5.3,63
206,1197,-5.4,43
515,1045,39.7,12
295,987,40.2,77
939,1725,-7.8,20
977,1575,5.6,87
530,889,12.9,88
878,1213,-8.8,44
921,1250,17.9,55
607,1261,-7.8,8
284,1485,-14.8,67
860,1143,-2,28
345,1453,-36.5,10
400,955,26.7,14
741,917,19.7,56
201,1794,15.7,94
869,726,28.4,30
867,854,-38.7,80
260,899,5.7,35
883,782,-8.2,80
659,778,-27.9,76
636,842,-23.3,82
991,639,-12.4,71
126,1147,38.8,38
661,953,-24.8,71
266,1219,-10.3,33
352,1615,-38.9,93
613,1359,14,16
526,851,-15.3,39
472,855,9.7,84
292,1176,30.2,47
847,1671,28.6,69
698,1184,-19.1,72
959,615,-33.8,60
871,1039,14.6,99
933,792,-13.4,95
885,625,16.1,64
975,770,31.3,12
779,1790,22.1,9
657,1461,-39,51
854,837,24.8,47
846,1679,-25.1,20
516,1760,-8.3,64
460,1072,-33.6,4
841,1389,28.9,7
848,1571,-0.6,78
343,1373,8.1,11
296,637,-2.7,23
149,1377,-13.4,8
704,1206,33.3,67
701,1004,-6.7,95
310,682,6.7,40
348,1709,11.8,48
703,643,-30,44
609,1538,-6.8,6
875,1594,38.9,95
134,1320,9.2,21
257,808,36.2,52
758,1465,-35.7,48
279,1424,21.9,38
926,700,28.1,41
666,879,-29.1,9
551,1413,-11.7,53
616,1113,-7.9,47
766,602,12.7,38
885,1682,22.8,23
908,1301,32.5,53
576,1443,18.2,8
467,1501,24.4,65
674,1651,21.6,45
908,878,-7.9,39
492,1683,30.4,87
647,1503,-13.2,92
629,834,-14.9,80
130,992,-6.7,100
538,809,-3.9,88
972,921,-0.7,73
784,788,-30,81
311,1745,-32.4,91
909,751,-33.9,92
720,1328,18.6,82
390,1211,-24,24
367,676,39.8,85
184,1169,28.5,46
859,630,18,4
609,1274,34.8,93
715,792,27.7,38
854,1528,15.1,19
857,1589,17.4,7
473,602,-33.4,24
493,1730,-37.4,87
373,694,-12.3,14
209,1599,15.7,73
921,1613,-23.8,78
921,905,-26.3,30
514,1409,18,67
510,1799,-14.8,49
992,1762,0,58
295,1568,13.6,22
818,1454,29.1,1
728,708,-11.1,39
378,1494,26.3,92
919,1476,-29.3,83
796,1172,8.3,3
996,1162,-11.9,60
925,1024,16.8,19
221,740,33.1,45
673,1466,11.9,44
743,1350,0.9,81
646,1007,4.1,69
724,784,33.9,11
345,1710,3.2,63
371,1735,-3.4,62
672,1012,-5.9,22
888,1673,35.7,80
755,1261,32.2,53
767,714,-30.1,35
832,1138,-18.7,74
550,1623,-5.3,7
772,897,-6.6,52
879,1791,-8.5,27
481,663,-3,70
210,802,8.2,27
552,1177,20.8,11
396,1751,11.4,63
791,688,-9,16
825,914,14.1,86
487,625,35.1,34
158,1098,-35.3,34
189,961,5,11
993,1378,35.9,3
886,1147,4.4,32
298,1398,10.4,94
641,1127,34.9,60
979,1611,-13.1,26
404,1545,-39.1,29
752,661,-10.1,77
235,1734,37.4,68
166,1145,13.6,59
796,867,19.3,89
983,796,-29.1,81
214,675,-0.9,72
732,1192,-28.8,42
766,1369,2.7,76
320,1026,26.8,15
123,814,21.3,37
488,970,39.9,13
523,619,-20.6,66
628,1318,19.3,68
431,1717,-18,82
452,844,-12.4,10
695,866,-16.8,11
633,1525,20.2,66
602,766,25.6,23
985,1616,39.2,6
731,1381,2.8,70
123,1433,19.5,76
941,1130,34.2,93
741,1079,-12.9,50
457,966,-31.7,88
275,1247,12.4,82
414,673,25.2,88
472,756,40.3,46
713,1079,20.8,62
564,1749,28.7,100
605,1423,-4.6,38
431,1731,-8.2,68
834,1289,30.8,85
941,1178,-27.4,53
672,1140,1.1,66
349,1388,-12,94
886,1219,-10.4,9
918,1322,-29.5,82
977,1397,2.6,28
138,1752,-22.4,38
630,1456,3.6,18
443,1791,-8.7,12
462,1743,29.2,63
917,1663,40.3,55
869,777,-3.7,1
905,972,-18.6,99
195,1355,-7.7,74
362,1777,23.9,19
542,1426,-33,8
723,1142,12,13
641,1023,40,85
462,1614,2.4,68
325,606,15.7,97
583,1662,25.1,82
274,1079,4.6,90
963,1595,37.2,57
570,1640,5.8,86
541,1083,24.6,14
234,999,17.1,18
647,787,17.1,52
395,875,14,98
131,769,-16.8,85
567,1656,-14.7,1
517,1301,24,55
880,1489,-32.1,43
206,1694,37.8,86
412,1236,11.4,62
853,633,24.2,28
840,1228,0.7,20
980,653,0.4,8
844,1650,-14.3,15
854,838,-8.7,20
684,1500,20.4,58
782,851,13.4,43
1000,1799,-18.8,87
240,1326,-23.8,26
839,1199,-7.8,10
448,742,-28.3,99
716,1731,-28.3,24
218,1745,6.8,47
686,1778,39.6,2
923,754,-24.1,90
391,1526,-8.5,19
424,1324,-22.7,45
926,640,21.2,76
712,1297,-2.6,82
376,1632,27.9,76
299,1311,36.5,68
363,1164,-1.6,85
797,939,16.4,33
551,1532,-27.2,25
974,1052,32.7,95
783,928,-22.7,66
999,1542,7.6,7
584,1434,6.7,100
623,1262,-12.2,22
899,1181,-33.7,37
997,1619,6.3,48
345,862,-30.7,17
843,916,-19.9,53
113,1684,-16.1,56
911,1260,-7.4,46
672,1093,24.2,42
651,1310,28.2,12
140,1020,34.6,13
689,1379,12.8,38
904,1107,25.6,78
148,1438,20.1,23
735,1657,35.7,4
929,1573,-33.3,4
864,1089,-27.9,11
311,1386,-1,14
424,1657,32.4,41
186,1260,39.7,63
672,1315,18.1,25
739,917,-26.4,80
730,1006,29.5,85
941,1545,-37.7,73
222,1471,-17,75
772,785,-11.2,21
187,1547,0.9,23
557,1766,-16.6,59
621,1765,31.2,43
186,1092,-3.2,96
613,975,12.8,56
801,1237,-2.4,11
634,1062,0.1,93
926,838,-33,93
955,1294,-9.5,25
813,1502,27.1,42
604,1573,30.8,92
591,1159,25.3,28
100,1118,31.2,90
937,1295,-37.6,30
161,1136,-2.3,53
997,1594,21.2,65
964,919,-1.2,17
978,851,-17.8,82
311,714,-12.6,91
338,1737,-9.2,67
350,1023,-3.5,50
637,1344,-32.2,31
837,782,38.1,5
225,948,40.6,82
272,672,39.3,76
814,1240,-29.7,81
527,1771,-24.6,29
120,1573,34.9,72
592,968,38.1,85
250,1188,16.3,97
901,682,-5.4,98
609,1050,-0.3,55
828,1381,-12.2,47
464,600,-30.7,49
119,1394,20.8,27
229,1292,3.5,87
761,1517,-10.2,33
968,1302,-19.2,65
218,1538,-17.3,49
959,1154,10.1,2
957,1011,33.1,11
880,1403,20.9,16
651,1575,-12.8,76
838,1059,40.4,71
256,980,-2.6,100
913,693,40.6,42
213,1051,3.5,34
716,921,17.3,99
829,1394,15,34
639,1472,16.5,45
786,1720,19,70
436,1155,-33.7,15
236,1417,-21.3,81
158,1019,18.3,22
511,710,-7.9,69
916,1421,-7.4,44
520,895,3.8,25
642,970,18.1,79
615,1201,38.3,76
540,1738,28.1,14
487,1556,-18,41
725,1282,21.3,36
166,1174,-26.9,10
224,1083,-38.4,74
907,1482,11.3,93
912,986,-15,94
330,1705,-2.8,99
774,1209,37.9,54
646,801,-38.7,65
936,1052,28.3,24
760,1258,39.1,47
855,673,-6.5,12
266,899,27.8,80
805,841,-10.8,42
560,1557,34.3,18
385,1087,-17.2,46
620,1175,-5.3,39
795,1587,20.6,2
871,1062,5,58
502,1592,-14,32
844,1409,28.3,94
743,886,19.3,25
249,1137,-9.6,99
182,687,-10.6,16
496,1377,-9.3,39
798,808,17.7,80
544,959,33.1,98
716,1415,-7.2,25
301,1240,-10.6,87
208,1625,-18.4,37
416,1228,22.1,43
170,809,6.6,2
422,1395,-32.8,36
581,1446,-11.4,80
756,918,-18.7,66
445,1239,-39.1,24
469,1085,4,7
552,1630,-32.9,59
960,1659,-10.7,25
702,1560,37.3,22
341,1114,-32.5,1
169,1715,-15.2,51
432,879,-33.8,9
779,1476,0.2,34
588,646,-11.1,27
765,1432,-27,53
975,1348,-13.7,68
711,644,-8.9,75
716,1393,12,11
366,1709,36.4,59
568,947,-39.9,33
603,753,39.2,14
850,1792,5.7,33
740,900,-25.7,81
787,705,37.5,66
200,1248,30,62
236,1713,-20.3,26
427,1508,2.7,20
803,852,-35.9,38
996,1407,-26.7,3
272,818,2.9,24
403,846,11.3,78
470,1800,-34,74
425,908,17.5,54
278,1712,34.9,69
754,1247,19.5,81
494,1778,-34.3,100
177,677,-10.6,7
438,1669,13,63
113,900,-31.1,37
445,1607,7.1,73
248,1385,-26.5,6
168,1293,30.9,98
815,926,13.7,25
297,1136,-34.4,5
537,1636,-15.4,18
257,1055,-38.4,16
823,1749,29.2,63
