godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
930,904,-15.3,12
450,1567,-0.2,30
526,1007,-4.2,25
323,1381,-13.1,36
645,1681,8.1,43
718,1608,37,31
906,1336,-34.3,20
452,1267,12.1,48
133,1747,-32.1,66
891,1458,-19.2,21
166,924,3.9,89
549,1474,-12.8,16
708,1008,-17.2,61
845,1650,-2.6,88
672,1261,25.3,7
369,1136,-10.7,40
764,1024,-25,24
285,997,12.1,41
768,1490,8.4,23
586,1547,2.8,43
907,1216,24.5,96
370,1394,-11.2,93
752,1250,-1,60
738,661,0.1,20
448,1218,-39.4,74
980,731,27.9,51
624,1108,33,1
571,1569,32.4,61
145,677,26.9,11
657,1153,40.4,94
418,1790,-3.7,61
462,1627,38.9,22
733,1681,21.8,78
787,1516,-3.8,49
455,1155,7.9,95
190,1752,-30.1,48
551,1384,-7.2,5
135,1759,29.5,58
501,1709,-14.5,67
631,1549,-18.6,76
488,869,20.1,3
918,1593,17.6,86
101,906,-11.2,39
695,1267,-5,70
333,1150,1.2,4
216,688,-27.2,55
415,1739,6.1,32
483,862,-15,80
974,1270,40.7,94
488,1331,2.4,34
383,1619,-10.6,48
921,833,-3.1,36
765,1745,-5,76
816,1015,-8.7,41
344,1294,15.8,6
386,863,12.7,60
540,1619,-4.7,6
610,1534,-9.9,39
518,1121,2.3,74
205,632,14.8,93
983,991,40.6,28
937,632,-2.8,51
136,677,40,65
943,1074,-10.4,94
504,1553,28.4,62
193,1495,4.8,57
855,1623,-33.5,3
706,1380,-21.1,97
689,1546,-10.7,96
702,1591,-29.7,24
481,1028,13.3,44
406,1620,-30,79
218,725,19.3,19
407,945,-16.9,8
417,1061,-14.2,46
989,654,-19.7,37
210,667,37.7,48
525,1380,-24.4,9
164,1724,11.5,37
305,1741,15.2,89
227,1394,12.1,99
856,1174,-23.6,1
614,1135,-26.9,21
943,803,16.9,43
741,1629,-7.2,29
956,996,-28.7,66
617,811,35.1,81
923,1002,-17,28
496,822,8.8,49
446,1070,-38.5,11
290,609,2.5,84
865,1320,3.5,3
441,801,-25.6,35
863,1041,-21.2,92
579,678,3.1,4
523,751,11,99
570,1540,0.5,13
725,897,25.2,92
162,1340,-5.6,63
781,1282,34,86
924,868,36.8,33
375,708,-3,87
623,944,15.7,71
460,1400,-9.4,76
608,604,-15.3,24
838,741,13,30
464,1597,23.6,65
902,1057,-33.9,91
993,1447,23.1,21
300,988,14.5,28
981,1603,-2.9,46
140,1383,-9.4,21
596,1324,33.5,37
192,1071,30.8,18
988,996,-38.8,29
981,1307,23.3,68
324,1136,-7.7,46
681,1010,-26.4,10
331,974,-16.6,58
400,1489,-28.3,58
156,1703,-11.5,49
572,843,23.2,83
956,1452,34.5,99
244,976,-26.2,97
735,885,-38.7,8
307,1562,7.9,88
439,1597,37.6,74
429,1338,15,96
691,1521,7.2,17
503,1727,-2.9,82
527,1198,11.3,67
126,961,28.6,47
419,841,-17.7,66
844,1017,-7.8,59
390,1798,-0.5,76
278,859,-13.7,27
769,884,-13.5,62
972,1273,29.7,5
290,856,26,75
850,725,5.7,31
124,1644,-7.6,59
615,1415,30.4,41
961,1663,31.8,94
438,880,3.6,73
569,1170,-39.2,79
680,1334,-3.5,5
274,1273,26.9,88
741,842,5.4,73
823,1492,-19.4,42
335,1436,8.8,11
460,1367,17.5,97
259,1598,34.1,97
510,1583,30.2,79
772,655,28,87
545,1746,1.8,78
966,1596,-36.7,88
746,1532,33.1,100
540,1002,9.7,17
266,714,-14.1,62
704,1387,0.7,20
597,646,20.6,91
303,1016,1.1,56
669,1358,-34.3,10
378,616,-14.1,51
657,1546,20.1,15
