godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
191,1324,-15.1,28
959,1719,37.9,99
570,935,1.3,38
849,966,6.4,20
680,847,25.6,52
601,1415,14.8,82
206,1640,10.5,22
937,1619,-17.9,38
376,1253,-21.1,62
836,854,-35.7,8
241,1251,22.3,79
815,645,27.8,2
673,880,15.4,15
874,1420,-2.3,89
153,1754,-36.3,99
409,604,-7.7,43
600,1236,-0.5,38
822,1788,-24.8,62
722,671,18.8,56
791,1185,34.3,36
913,867,-3.9,86
469,671,25.8,85
534,1067,-13.7,20
120,1793,-1.1,6
738,660,-35.8,27
600,1066,28.2,66
552,1432,-13.4,29
560,1608,-18.7,66
111,1624,-19.6,83
809,896,-16.4,41
470,787,-30.9,16
676,692,-13.3,83
666,1150,32.3,87
546,1292,-34.1,87
857,1650,3.7,40
709,1401,-28.3,39
420,1333,14.3,48
796,1248,20,73
358,1697,-21.2,97
936,787,40.7,31
483,1743,-11.8,31
655,1233,7.4,6
329,989,-9.5,78
726,978,-5,53
942,1152,-33.2,98
882,619,-5,11
576,686,6.7,82
414,789,9.4,13
679,1320,-32.9,18
444,1672,25.1,75
505,1095,10.1,54
485,799,-35.3,75
933,714,-34.3,58
572,919,8.5,57
563,763,-37.7,33
290,1775,30.6,36
226,1621,-33.3,32
605,673,-0.9,86
215,994,-16,9
289,638,24,49
104,1786,2,82
850,936,14.5,25
667,1032,9.2,77
558,750,-26.7,45
538,1221,32.8,65
958,1248,4,98
590,948,29.7,53
429,1775,-24,89
235,1325,-38.5,17
183,1363,27.7,2
869,1763,24.9,87
983,1197,13.9,79
491,1261,-19.2,78
344,1553,-13.4,48
937,1659,29.8,77
664,1440,-11.9,8
249,659,17.2,89
608,1580,-34.8,46
267,1677,-36.2,35
881,1472,8.9,23
748,1510,-36.6,41
961,1714,1,82
524,745,-19.6,24
186,1584,-2.1,22
554,1530,-24.6,1
898,1095,15.5,44
727,1560,-36.9,21
663,631,1,95
989,1365,24,51
274,691,-11,33
600,1188,37,59
985,841,-0.5,98
741,1459,19.6,53
796,1696,-16.5,40
604,1369,-35,57
227,619,38.7,43
671,936,-9.8,90
280,1497,-15.3,16
242,899,-3.4,46
940,1648,40.6,84
837,1249,-29.1,27
265,1428,-5.1,61
675,953,-21.5,55
446,1082,-35.5,79
148,1410,-12.1,4
194,1252,-37.6,70
495,1081,12.6,53
507,1635,10.1,14
660,1068,-10.9,28
260,810,-27.2,26
571,1696,-32.3,66
296,1591,-11,27
331,1001,34,84
144,984,-3.8,60
771,797,4,43
814,896,17.4,64
819,1388,13.5,30
912,1463,38,52
527,1486,-34.6,4
228,1015,-13.4,11
212,1291,-39.7,11
203,735,-13.6,13
668,691,22.3,21
858,607,40.1,37
962,1558,-10.6,55
739,1066,-14,21
407,1179,-16,34
426,843,5.5,96
426,1693,39.9,67
905,1778,-26.7,57
419,1506,-4.4,88
880,934,-12.5,76
728,800,17,17
654,1572,21.7,21
557,1211,-22.7,78
542,914,-18,99
948,1695,-24.3,79
596,1122,-35.5,63
173,1359,2.2,14
992,630,21,92
416,1783,-32.9,2
184,1303,-12,3
413,1710,35.5,29
140,1176,-27,7
209,987,1,48
562,807,20.5,34
502,1442,36.9,91
790,1786,36.1,52
627,1614,-19.5,90
174,1538,-20.4,70
825,633,-5.3,67
667,1791,11.8,40
670,1270,12.7,88
415,662,8.6,93
955,1233,-24.9,14
366,1212,-36.7,76
307,1176,-23.3,56
882,765,-39,58
613,1175,-11.7,86
702,1247,20.6,21
261,953,-24.3,8
173,1040,-21.9,63
250,952,28.6,12
935,1567,-12.6,37
188,1043,30.5,85
412,1378,-6.9,55
225,753,-18.8,12
188,924,15,53
162,694,3.7,96
844,1454,2.3,23
851,1343,-12.6,46
451,978,18.8,56
420,1251,-8.2,65
830,1393,34,94
978,905,14.2,44
580,1177,-6.1,28
344,959,4.3,70
458,932,-16.3,10
599,1275,-17.8,70
738,1030,-8.2,80
920,1242,6,61
580,857,-7.4,93
330,623,8.3,68
329,1656,25.3,54
546,606,-33.6,43
305,780,-31.6,6
721,1163,10,84
194,831,29.5,80
153,1264,7.3,21
338,1279,-11.2,63
221,1132,-21,34
527,1286,21.7,35
622,1333,8.3,39
534,1448,-0.6,35
960,896,-4.4,39
500,1695,10.5,75
549,1625,-24,43
332,1743,37,78
704,1369,35.8,20
463,920,-9.9,79
646,625,16.9,14
346,1771,4.9,78
716,732,37.7,31
774,1794,-14.6,38
476,1572,-22.6,53
966,1627,-10.3,26
399,1673,27,41
114,828,-3.5,19
339,1747,-12.2,82
205,1479,-17.7,93
992,1672,-16.3,18
978,1537,-36,82
883,1139,40.9,62
852,620,-8.1,63
348,1710,-30.8,46
148,1580,-40,12
188,647,-3.4,24
157,893,-4.2,3
393,1226,25.7,67
299,1177,6.5,71
613,626,-18.3,18
919,1431,38.6,39
962,1112,25,64
503,1441,2.1,99
701,996,-25.9,8
550,1240,11.6,1
401,988,10.5,67
221,978,30.8,31
147,819,19.2,82
126,1706,1.1,34
663,1569,20.9,20
129,1729,33.8,75
862,1085,-4.6,81
930,1401,26.6,16
489,1402,-22.9,47
435,1560,30.4,67
950,725,26.2,56
180,1626,22.7,28
255,1173,26.2,9
518,1235,-31.7,49
394,925,29.1,44
334,1283,35.8,63
529,1379,18.8,91
614,691,-22.5,2
647,1513,40,49
872,1331,28.2,83
967,1218,2.4,91
226,704,23,35
334,1676,-15.1,80
872,1332,-19.4,12
642,1365,-17.7,29
952,1446,32.4,36
895,1277,34.9,90
732,984,2.4,74
446,873,-0.5,87
145,1371,40.8,61
735,1271,38.8,13
934,848,24.7,30
334,1124,19.1,14
249,1073,-2.8,31
829,1749,-16.3,46
260,861,38.6,13
908,1762,4.6,52
449,1056,5.8,50
107,1252,-38,15
484,1043,-16.5,2
967,1593,-21.9,35
684,760,-14.4,22
277,681,-15.1,25
563,1380,-11.8,26
272,960,-17.5,22
191,861,-40,56
525,1646,-35.2,58
333,1374,12,90
813,642,39,100
790,743,39.9,41
865,1252,24.3,48
522,1251,23.9,59
724,1257,-37.3,35
407,643,34,38
413,1674,-15,35
590,779,-7.7,45
753,836,-28.6,37
753,1605,-10.1,61
907,1055,15.6,35
244,779,-13.1,45
948,722,18.8,43
288,1090,-39.4,62
145,1061,28.9,69
140,704,-10.6,73
844,1108,-17.9,92
411,1695,-31,11
952,1030,40.9,1
726,1007,-37.6,61
443,633,37.6,19
245,1143,3.8,40
330,1113,35,66
621,877,-19.2,58
820,1260,27.2,16
986,774,-6.1,52
756,890,25,53
685,730,37.9,62
234,1128,13.5,74
723,1724,34.3,100
553,1576,-2.3,89
139,745,-7.5,24
148,1331,-8.5,40
378,1414,16.2,71
766,1466,27.5,90
384,1113,21.4,10
121,1236,38.5,28
808,1559,38.7,69
635,1172,13.5,39
385,782,26.4,33
764,801,19.9,46
979,1309,-13.9,92
998,1590,36.6,72
315,1275,-28.3,63
855,811,-39.1,44
994,1017,29.2,77
985,1135,2.8,71
106,888,-17.9,67
520,1443,32.9,64
241,1511,-4.9,8
707,1605,6.7,72
494,1149,-35.5,62
463,1072,14.7,12
106,1340,-36,20
602,1324,-15,65
375,681,5.7,90
543,1060,14.9,14
571,1077,8,51
938,1378,10.2,36
776,884,20.9,60
999,1072,29.1,35
571,1156,40,44
384,628,20,50
665,638,38.1,20
186,1378,-33,75
655,1315,-22.2,57
944,955,21,2
726,659,-9.2,99
936,1583,24.7,49
598,1062,26.4,31
696,1138,10.5,18
380,1098,-12.7,14
381,1023,-4.7,78
642,1739,4.1,96
566,1343,8.1,47
293,1209,4,91
302,900,28.7,15
304,1363,1.1,58
897,833,-17.3,33
766,1550,35.8,21
884,908,28.9,68
660,1574,5.8,82
630,638,-25.4,10
582,734,-15.4,41
689,1780,-31,83
878,1394,-28,82
321,1124,-19.9,24
243,1620,2.3,16
849,1611,35.8,17
717,1283,7.7,52
819,878,-8.6,72
830,775,-8.4,58
598,1048,-36.9,46
774,762,34.2,59
421,1313,-1,44
446,626,22.6,98
744,1586,-30,27
372,631,-35.6,31
858,1306,-36.1,33
491,883,8.3,86
514,1613,-20.4,8
540,1793,4,16
642,946,-19.4,37
854,1645,-15.2,75
775,1315,-26.5,65
794,988,15.2,46
680,1401,-29.2,14
907,1603,16.2,64
711,1775,32.1,65
455,1716,38.2,4
960,709,6.1,38
424,700,23.4,1
159,784,16.9,100
781,1602,-15.2,11
919,1203,26.2,31
647,918,-29.6,17
950,1221,0.5,90
284,726,14,40
450,642,-39.3,18
215,774,17,33
751,992,8.3,100
487,1776,27,77
754,1503,-38.2,16
633,1059,-32.2,83
947,878,22.4,40
224,979,-20.2,22
231,1186,-15.3,91
674,1595,31.8,21
482,1651,26.3,69
597,1705,7.1,51
985,1018,-28.4,73
137,864,-39.7,72
231,633,-21.3,87
116,868,-37.4,100
759,1731,5.5,69
267,921,-31.2,82
683,1390,40.3,10
935,802,22.2,28
263,1775,-18.7,13
588,1066,27.7,8
813,909,18.6,44
343,1144,1.2,8
921,855,-5.6,95
283,1340,1.7,16
782,1036,-38.8,74
606,687,35,15
383,1115,9.6,43
678,1116,24.2,91
380,797,15.9,6
634,1535,5.7,38
377,1766,-35,54
487,1259,-18.9,80
894,968,33.4,89
182,1453,40.4,60
712,891,-30.5,39
851,1772,-9.7,100
907,1445,7.8,35
998,688,-15.8,20
112,1203,-28,8
750,1023,-27.5,93
919,1494,-0.1,69
612,1788,31.9,88
567,886,-25.7,68
355,792,-8.7,95
451,796,-13.5,92
583,1747,-34.3,7
739,1200,-36.9,95
179,1478,15.2,93
181,1043,11.5,22
167,912,38.1,78
873,1489,-11.1,53
985,938,-16.7,54
468,641,17.7,60
983,939,8.5,80
650,693,11.2,41
718,1685,21.1,97
261,1160,-16.5,100
479,1035,-13,52
958,1018,-16.9,65
299,1064,-12.9,33
503,905,7.6,97
949,923,7.3,27
843,1116,1.2,69
889,1402,-16.3,58
789,1640,-11.1,81
390,1511,22.1,22
977,1043,33.2,20
236,1135,17.8,38
537,1242,-35.9,13
769,1068,37.3,69
899,1589,5.3,5
568,1182,5.4,21
106,992,2.4,100
372,808,14.2,78
333,966,18.1,41
235,1124,19.8,77
371,821,-4,49
898,1557,-1.6,84
430,915,15.3,22
981,631,-9.6,85
986,901,-15.1,59
905,1106,-2,34
182,1153,9.1,8
451,1579,-30.5,9
553,1340,-13.3,22
501,728,27.3,48
343,1378,-23.1,42
567,618,-28,70
395,1452,3,4
590,1414,28,99
126,1098,17.9,62
309,990,-17.7,29
382,751,-23.9,92
801,1097,-9.8,45
530,1437,-24.1,18
504,1153,8.5,2
102,1283,-38,10
206,825,-12.6,40
492,864,-18.2,61
689,819,36,99
637,948,11.8,67
559,625,-24.7,70
852,1172,9.5,93
230,1461,-16.2,90
132,1325,-5.9,49
364,761,39.3,11
543,737,-21.8,25
143,707,-12.6,96
502,762,-12.2,32
116,1381,-21.2,10
371,912,-8.7,89
126,1118,10.2,40
486,1153,-23.6,35
209,1750,8,91
184,685,-14.5,73
470,1510,1.4,17
662,1508,31,72
223,1665,13.3,47
1000,1653,4.7,3
226,972,16.6,60
822,753,-27.4,73
742,1726,-25.1,49
116,1724,24.3,7
436,952,20.1,9
240,1341,14.7,11
755,1123,27.6,86
1000,1266,8.7,8
585,1086,30.8,3
658,1425,-20,78
433,1728,4.8,33
907,1680,27.6,15
618,1574,-27,49
247,1016,-23.5,29
518,1445,24.2,4
703,1307,-39.8,66
361,1068,-11.8,65
955,1307,34.8,13
542,1142,-19.3,26
159,1369,-8.2,97
499,879,27.3,38
485,654,-9,90
700,967,-1.2,5
115,1471,27.6,97
842,1106,23.3,54
100,1143,-31.4,55
390,1184,-18.8,35
542,1308,31.4,35
761,1544,-23.8,42
841,1024,17.2,45
663,1794,6.1,38
847,1284,-20.3,87
426,1190,-28.9,48
881,1343,2.6,54
245,723,5.4,93
853,1339,11.4,47
176,1237,10.6,69
164,1179,16,6
952,1350,31,42
644,1388,-20.4,86
571,706,17.5,19
466,1149,31.6,33
314,1173,-3.6,24
809,1217,11.6,27
165,1606,9.3,21
823,1154,-39.6,63
559,1147,40.5,46
120,1778,-37,16
544,1483,3.2,75
587,987,-11.4,37
228,1450,25,78
615,1290,13.2,3
906,1774,38.9,82
240,1491,0.1,8
992,1117,4.3,68
540,871,-11,52
243,1068,31.9,44
319,991,-19.9,98
751,1432,-1.2,88
475,1705,38.7,48
201,1576,20.5,75
785,938,35.3,31
692,617,-4.6,53
320,831,-3.1,86
966,938,-12.3,55
491,1297,-34.5,44
642,1589,23.5,57
131,1772,2.4,90
787,1612,37.7,76
371,1492,-32.6,76
647,1373,-1.2,84
164,1336,-34.3,19
399,1437,-22.1,15
637,1204,39.3,15
650,841,4.8,26
878,917,33.7,27
852,618,-8.8,97
498,1672,-15.8,57
477,1726,0.4,83
187,1051,-11.6,62
178,1547,-6.8,36
363,1067,-17.7,17
335,976,36.2,93
343,1211,-16.7,94
332,975,30,68
233,788,-22.2,97
761,1730,15.7,12
144,1612,26.9,30
359,1019,-25.5,9
526,1467,-32.5,89
534,1521,-6.1,66
657,654,-22,6
152,1261,-30,39
242,1180,-15.7,53
732,1553,-4.9,95
203,890,-24.1,68
563,1601,-35.3,95
170,921,-38.6,56
966,794,-15.5,98
375,1575,-1.8,18
578,1780,-21.3,80
887,1634,35.7,99
850,1296,-3.5,76
815,1720,17.5,63
373,1594,-11.2,89
714,903,15.5,3
756,1223,13,70
177,604,-2.3,81
384,1147,38.7,15
876,857,-4.9,37
749,1503,-30.1,98
389,1489,7.3,47
829,815,-27.2,66
486,1128,3.4,99
564,1514,2.3,91
224,1030,-18,3
727,901,33.5,16
865,1534,-39.5,82
545,942,35.6,100
868,760,-10.2,98
624,679,6,51
785,1493,-14.2,23
252,1152,39,10
157,672,-37,54
848,1048,13.5,55
615,1775,10,84
885,1625,-22.3,14
335,710,14.3,69
104,743,40.1,66
517,1242,-10.7,64
302,1180,-17,14
963,1484,40.9,48
523,906,6.2,50
826,773,-16.4,79
564,1691,27.4,59
568,1087,-4.9,82
520,1526,-9.9,36
791,1680,38.9,77
802,1702,39.3,94
751,1538,-12.5,94
867,1336,2.1,34
215,1463,8.1,24
962,974,0.6,42
545,1692,12.3,43
451,1768,27.5,8
543,651,26.6,91
198,1059,0.8,57
395,1799,14.6,31
477,613,21.4,51
227,721,23.8,4
760,1321,-27.2,32
598,631,-16.5,10
858,1453,-21.2,69
121,826,20.8,39
929,1067,-30.1,66
971,1648,39.2,20
205,1359,-4.6,47
430,1297,-9,68
795,1225,-16.4,12
361,1227,24,58
200,661,1.3,52
520,1176,-1.4,20
908,628,-36,59
373,1200,-2.2,62
707,1311,16.5,44
678,1772,7.1,30
398,1080,34.8,57
593,1404,1.1,71
260,1433,-6.2,60
398,1350,38.5,46
455,1796,-30,36
213,1118,-2.9,100
204,1304,-37.2,57
521,612,-32.9,52
980,1400,2.6,5
180,792,7.5,45
890,1019,0.3,81
565,1580,26.9,16
884,816,-31.5,89
357,1623,1.8,12
707,1737,-1.2,68
715,696,-2.9,94
466,1032,19.7,41
606,869,30.9,79
704,667,0.4,80
528,1704,32.3,23
545,1050,-16.8,78
218,1718,-4,30
239,911,-12.5,92
840,1627,-3.7,67
564,792,32.3,51
944,1762,-35.8,66
171,1508,-32.9,31
919,1146,35.3,1
437,1000,-27.9,75
390,699,-3.9,49
113,837,-32.4,56
644,1087,37.7,38
621,1636,-25.5,36
757,831,36.6,87
700,1390,25.1,74
729,1189,9.3,45
993,791,-5.3,48
292,1628,35.2,81
672,1698,34.3,7
723,897,-13.1,92
352,821,-22.9,97
463,1754,30.7,67
877,1480,34.6,63
399,885,-35.3,16
102,758,4.4,69
678,1627,9.3,49
566,1525,10.2,82
750,1742,-35,15
283,1049,3.1,85
436,784,3.5,58
921,1221,-14.5,94
971,1560,-15.7,70
865,893,21.2,51
299,1621,5.6,35
220,1512,-3.6,20
955,1216,27.7,81
759,1089,9.3,24
712,939,-35.8,1
977,1334,33.1,18
711,1343,-36.5,7
610,1254,-28,78
746,869,-24.4,84
852,1637,-26.2,86
712,1324,-12,6
519,1397,16,33
628,992,29.8,34
851,1156,-33,44
154,915,1.6,9
891,1339,19.5,46
745,1767,-13.6,89
688,985,-11,21
938,1189,-19.7,13
376,616,-3.3,55
984,989,17.6,38
801,976,-3.6,41
375,934,20.8,72
790,1516,-12.7,92
197,1439,24.8,55
896,1224,-7.7,88
944,1035,-10.2,22
131,1095,35,53
879,682,17,53
250,1523,9.9,63
498,664,-8.8,19
787,1577,12.4,87
980,964,27.5,73
213,1435,5.2,34
159,1162,27.1,60
105,1784,18.9,14
501,1799,-13.7,45
463,1659,14.9,1
576,1519,-39,4
812,1422,-1.2,13
104,741,21.7,91
509,1549,-37.8,3
867,1369,34.3,47
489,1635,-35.7,33
589,1490,32.2,41
111,1527,26.8,42
650,1163,4,15
463,848,-15.8,30
498,693,4.3,21
948,1278,-27.6,56
146,1404,21.7,10
516,1462,17.7,62
409,1631,-31.8,74
749,1218,-3.3,51
805,782,18.8,93
426,1257,11.3,42
113,1658,28,61
482,789,12.4,74
797,1239,22.5,63
987,1747,5.7,76
327,1323,26.9,83
992,1752,30.4,37
745,1410,-11.6,24
529,1024,-5.9,34
420,1689,26.9,86
975,1372,40.2,37
324,640,27.5,16
637,1683,22.3,80
128,1744,-30.2,33
208,867,5.3,84
130,667,20.2,40
600,1498,18.9,43
830,1122,-38.8,31
670,851,8.9,51
998,1563,-7.5,9
733,919,40,29
460,695,12.4,52
794,1772,12.5,10
121,1309,-11.9,1
396,986,7.6,91
748,908,26.6,14
114,1751,9.5,92
209,1241,-33.4,18
277,1531,20.1,38
190,876,19.6,44
270,1434,16.1,99
608,1679,-39.8,65
199,663,-2.6,30
158,1714,-11.3,85
924,1209,-37.8,17
862,1040,-8,12
599,1442,-10.5,44
871,784,31.9,83
320,976,-33,81
989,1422,14.5,34
933,1457,4.6,94
792,622,21.7,100
494,1762,5,21
360,1683,-32.1,70
472,981,27.6,73
353,1102,40.1,93
