godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
984,1618,27.6,21
205,992,-37.5,13
396,1474,36.9,47
499,727,3.2,64
200,707,-33.7,4
192,606,26.7,68
284,1780,-29.7,50
151,1342,14,47
398,1150,34.7,3
288,730,-15.3,51
325,650,29.2,82
500,1779,9.9,62
540,1332,-24.6,52
961,1120,-5.4,38
759,1516,12.1,16
836,963,22.3,3
664,1104,-17.8,49
462,753,28.5,67
731,1098,36.8,98
716,660,-2.2,100
825,700,-9,73
633,1122,-4.8,94
515,1439,-28.9,36
376,1708,40.4,53
844,777,-35.2,69
145,1325,29.4,12
605,811,-10.2,33
916,1513,34.3,26
495,1072,37.9,39
314,614,36.4,28
193,1015,-32.9,52
821,1590,-8.7,16
590,749,-24.3,96
856,802,21.1,61
595,1334,-21.2,40
840,1781,-7.2,76
416,781,1.6,80
644,799,6.6,82
575,866,-5.7,58
202,856,-22.8,60
792,1509,-16.9,76
690,1661,14.5,9
548,1624,12.4,73
691,1250,-39.9,60
319,1217,-29.4,27
384,1126,35.5,9
734,1337,36.1,70
806,968,38.3,78
195,1620,5.2,44
306,757,2.3,65
151,829,-7,66
498,1433,-9.1,36
912,1399,-29.4,87
899,1064,-5.1,44
520,792,21.5,14
904,768,17.6,24
722,1099,-19.9,71
742,618,23.9,21
497,992,-10,28
164,1339,-24.3,98
550,773,5.2,36
754,1695,22.2,90
273,821,21.8,82
152,1201,12.8,75
151,1341,-30.5,60
480,1066,-35.9,37
731,1091,28.8,57
363,1196,-21.1,9
594,1528,31.6,10
186,1742,-26,90
230,1792,37.4,67
158,1162,8.2,81
293,1706,25.2,85
820,1391,-9.2,42
568,933,-1,29
981,1734,-6,22
610,1116,36.6,22
645,1007,-26.2,40
847,1373,11.3,52
947,698,-39.6,27
421,979,35.3,10
718,1432,-22.8,72
218,1251,20.3,66
344,1242,19.4,89
754,659,0.5,46
222,643,30,9
721,637,-36.4,43
455,1774,16.1,71
633,1320,1.3,28
358,1447,16.4,52
848,675,27.3,50
575,1741,26.6,21
643,1383,-10.6,74
691,1401,33.9,23
994,1075,35.5,1
866,1421,23.8,1
247,970,-29.3,62
990,1397,-6.5,39
847,1453,20,57
706,641,-22.2,16
913,954,-7.9,12
895,1627,-33.6,69
933,1501,-12.6,9
445,1497,-32.9,14
843,813,18.9,12
271,1700,-34.4,69
719,1093,-6.1,24
636,769,19.4,100
951,1174,0.8,66
663,1588,5,5
935,1626,-38.8,3
711,652,-31.2,22
473,937,6.8,23
742,837,-14.8,76
420,1682,-23.8,4
761,653,-23.3,37
709,1523,-10.5,84
760,1670,36.3,91
516,848,-36.3,59
473,700,-21.6,21
165,1762,8.9,9
144,995,9.6,21
716,1424,18.7,2
839,680,15.6,93
464,982,-13.2,57
171,707,37.5,51
762,1710,-31.7,44
850,1438,-25.8,21
430,1752,-37.5,33
302,1667,-20.4,67
673,1455,-32.7,33
493,1639,-15.5,80
234,618,-29,74
549,1077,-16.1,33
327,1115,10.4,20
816,1191,-9.7,17
991,1390,18.6,61
864,1116,-31.9,72
888,1130,13.2,71
880,809,-10.9,75
436,1684,-12.4,71
800,1445,24.6,10
437,1228,18.8,47
754,1106,-12.2,71
801,1715,9.3,56
642,1129,22.7,25
891,796,16.8,21
155,1670,17.8,48
773,999,-3.5,11
103,1734,28,32
891,1706,-1.9,62
947,1116,-7.1,61
702,1705,33,45
169,1608,21.1,63
975,1263,3.6,58
470,1779,-3.9,2
148,933,3.7,66
332,1262,25.3,20
715,637,5.5,18
520,807,-31.7,4
158,728,-11.4,82
775,1026,-2.7,100
715,1337,35.4,13
568,600,-5.1,92
176,1180,-16.6,37
406,963,-4.8,58
841,940,30.9,43
501,1126,17.1,100
986,830,-37.9,85
686,1458,-31.2,73
800,1167,32.5,19
228,893,-11.4,28
909,1138,25,2
429,1233,8.3,98
337,1493,-26.3,27
883,1446,38,2
189,751,11.1,14
728,1687,20.5,33
466,1030,-3.2,84
185,944,1.6,93
576,1268,-28.9,86
416,991,18.5,67
270,1181,-6,21
687,1083,15.3,94
619,996,12,37
271,1306,22,92
210,853,-30.2,75
880,1370,33.1,3
557,860,5.2,80
435,1217,9.2,98
219,840,39.6,57
774,1249,-32.4,45
543,1563,34.3,80
126,972,16.3,54
327,1431,29.1,37
674,1605,-10.7,31
737,680,38.7,86
165,1040,20.4,34
635,1341,9,60
929,1080,24.4,29
738,1662,-1.5,15
956,1550,-28.8,61
231,895,16.1,65
986,725,33.7,55
510,773,2,66
936,1029,-21.4,25
955,1483,23.4,99
993,883,27.4,22
407,1446,9.3,97
888,1348,29.7,21
164,1475,25.1,94
936,1660,-28.9,64
433,1231,-24,14
954,1264,-25.1,19
429,939,26.6,10
355,1615,38.6,63
493,1713,-36.4,36
472,1208,-16.1,81
631,1771,-39.9,9
859,1195,15.9,93
853,1257,14.7,61
200,1104,20.7,40
765,955,26.2,33
575,1312,-24.2,3
617,1276,-2.2,56
603,705,25.1,25
107,1404,-31.7,44
990,1066,12.1,12
177,1612,-25.7,8
833,1725,29.9,96
341,958,-16.7,81
785,1118,40.9,67
313,1701,-21.1,89
702,1214,-2.4,94
865,1103,32.3,84
122,1729,21.1,41
249,1729,-9.5,6
716,1295,-11.9,14
676,769,10.1,79
712,681,28.4,8
365,1642,-21.2,68
361,1701,-38.2,8
675,627,-11.4,24
854,1596,-14.2,50
299,1060,16,83
777,672,1.5,31
240,1574,-27.9,79
485,605,33.4,95
307,884,37.2,69
441,1286,30,93
189,1636,-23.5,59
187,1202,17.5,35
371,623,14.6,3
183,879,9.6,22
830,1671,3.5,6
468,1455,12.6,42
883,605,38.3,91
160,1276,-1.2,88
118,847,11.6,64
800,639,40.3,71
