godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
805,1037,-28.9,75
799,989,13.1,35
632,945,-13.9,40
243,1597,15.1,97
693,1045,-37.8,76
457,1189,14.2,89
939,1326,8.5,94
524,1407,25.8,93
351,1419,32.4,59
719,1289,31.8,21
906,1067,-32,24
501,1531,-31.7,81
265,678,3.9,33
284,1455,14.8,95
750,1613,4,39
291,815,25.4,93
740,1538,-39.4,85
820,1168,8.1,99
322,993,-6.2,84
745,1043,27.1,67
169,1479,-39,72
675,717,9.1,49
888,1370,8.5,79
749,1491,-15.8,20
218,1338,-29.2,80
128,1444,11.5,30
237,1651,-13.1,9
776,1670,25.8,91
845,1225,18,62
430,1715,39,79
231,1098,22,26
311,1032,-21.5,71
704,1318,-2.3,75
437,980,-35.1,72
616,1233,36.4,13
900,943,15.3,32
674,707,9.5,93
325,862,-15.1,13
317,1630,34.6,1
941,1046,20.3,4
857,1032,34.4,18
672,721,-37,74
814,1699,20.4,29
691,777,10.1,61
827,730,-15.8,32
660,1799,28.2,6
708,757,-33.5,53
105,1605,-11.2,9
563,1381,-14.4,24
967,624,1.4,13
678,1012,29.7,98
788,1684,34.8,32
534,669,27.8,93
935,1423,-5.5,43
935,613,-8.7,82
756,735,-18,69
736,1431,5.9,42
342,1674,-7.3,13
401,660,26.3,15
967,1329,-37.9,83
897,1068,-20.8,31
447,914,-33,9
436,710,4.1,97
123,1515,23.6,10
215,1582,-18.7,95
107,1449,-32.3,28
776,1670,-19.4,88
791,1558,-33.1,59
986,1266,-33.3,65
535,887,-30,50
994,1703,-39.8,63
788,957,-9.8,53
805,1655,39.3,68
762,874,-21.3,61
576,1248,29.8,95
330,1676,32.1,47
968,1635,-4.1,47
261,1691,-16.2,94
387,1436,18.8,100
766,766,21.2,51
597,720,10.7,40
347,1774,-39.6,97
315,1334,-6.5,57
650,1667,8.6,22
324,916,22.6,41
915,1249,19,58
544,1542,-19,49
339,1223,-21.6,51
981,1579,33.5,46
969,1470,3,35
732,1769,-12.3,85
673,775,3.6,97
266,1787,18.9,52
191,978,-37.9,77
274,1228,16.3,51
251,1448,-2.6,14
717,1345,-20.8,100
718,1046,-25.6,14
824,1044,-10.8,86
689,1179,12,68
756,899,-24.1,78
745,1586,-4.6,90
987,1800,-8.8,9
223,1652,-9.8,15
237,972,26,70
593,1247,-28.1,31
697,1467,-25.5,92
140,1472,-10.2,83
883,784,-10.3,17
987,1677,19.3,72
428,754,9,85
278,883,-28.6,62
855,1217,24.7,88
226,1252,33.7,35
775,1343,6.1,59
146,721,4.3,41
877,676,-37.7,31
256,760,9.7,7
652,1625,-21.3,94
825,1465,22.2,23
168,1430,-23.9,59
431,651,-16.8,91
472,1107,30.3,82
662,840,17.9,97
558,1505,-1.9,8
373,749,-13.7,22
640,1247,-4.5,25
282,813,38.9,64
717,609,25.1,75
989,727,38.5,54
261,1027,21,79
401,1704,17.9,52
112,1661,-5.1,17
423,1011,35.7,77
911,930,-7.3,73
713,610,-19.3,7
744,1339,-15,86
341,1668,35.2,49
105,1739,0.2,44
330,886,30.8,1
1000,1074,-25.6,83
300,1551,33.7,45
871,1198,12.9,61
830,1296,-20.9,81
991,1541,15.2,79
929,1769,-9.9,89
363,1696,-15.6,77
683,1777,4.1,25
930,1450,36,25
997,1150,8.3,2
911,1705,-36.8,13
368,1249,8.6,18
389,981,8.3,79
753,940,-10.9,52
602,1054,16.3,97
337,1699,9.2,10
692,1669,-15.9,48
507,1499,27.1,98
672,647,28.5,58
278,1214,-7.5,59
581,1675,9.4,47
153,1604,38.5,40
801,1675,39.1,59
807,885,22.4,81
590,716,-30.8,77
103,893,-12.9,43
502,1490,14.3,53
257,653,-27.6,60
106,1410,11.8,70
542,932,-10.4,58
779,862,-16.4,11
895,682,-0.8,82
687,1778,37.2,26
132,1603,18.6,99
694,1270,6.5,80
445,1169,-23.5,6
680,1496,-32.4,34
709,1632,-34.7,37
799,1130,-38.9,31
769,1095,19.5,22
744,1341,2,12
247,1697,-1.9,70
976,1398,34.4,17
924,1019,-11.2,43
733,1382,38.3,48
615,1024,1.3,48
161,1492,40.6,20
293,1135,-31.1,93
320,1008,-30.4,100
617,1154,21.4,84
544,1346,-32.4,1
477,1231,-31.8,89
538,891,39,70
607,1441,-39.9,21
101,1234,6.7,39
615,693,-5.3,5
935,1239,-15.6,2
642,1151,-28.2,84
380,1601,29.2,34
858,1512,-36.7,68
790,1244,-4.9,22
666,965,-26.5,32
172,1354,-15.1,44
234,1473,13,84
620,1733,19.5,22
366,1479,-38.8,48
625,872,-38.3,75
966,694,-35.9,69
811,1588,-21.4,17
720,825,40.5,3
915,1164,19.5,75
422,1653,-2.5,42
547,1720,36.2,72
731,1394,-10.2,74
498,1654,31.6,31
177,1072,-38.5,55
295,608,2.9,45
963,1757,14.8,68
362,1173,-15.6,12
113,1397,-25.7,60
711,1534,-27.5,29
877,926,-2.5,44
993,947,25,71
653,1799,-32.2,37
401,1384,-39.6,88
615,933,3.6,70
161,928,-5.7,18
991,918,31.2,86
886,696,-1.4,4
922,948,-18.8,15
923,1671,-23.6,57
980,1552,24.9,51
157,1415,16.1,87
446,1346,2.5,86
830,1035,27.8,87
479,758,-0.5,59
244,1390,32.2,49
885,1548,-14.6,60
700,1322,12.5,99
447,1529,12.8,5
827,1635,8.1,78
334,710,12.3,92
592,955,14.4,60
872,638,4.1,76
889,897,-30.6,29
967,708,34,19
870,827,4.4,10
702,754,9.2,50
119,729,-15.9,19
210,732,-16.8,32
794,1039,4.9,87
200,1684,-21.1,46
456,1609,2.6,68
160,767,-27.5,51
801,1339,20,8
664,1600,-11.8,56
587,1054,19.8,54
518,1769,-34.9,43
151,975,-32.7,81
272,1307,-17,79
170,623,22.4,51
803,741,12.4,71
134,891,-22.3,56
965,1423,8.8,2
714,1184,36.2,10
178,1401,4.9,15
393,911,-5.6,35
381,1747,3.5,38
172,1092,-31.4,49
847,1459,-32.7,25
911,905,-26.1,73
789,1303,-11.4,20
843,1230,-29.1,91
481,939,19.1,26
951,759,24.2,88
484,1700,-4.6,8
985,1796,-18.4,22
640,1162,-33,24
831,720,10.4,46
551,1082,-4.4,43
183,1245,28.3,64
913,1654,39.2,81
382,1028,-11.4,39
414,1184,2.4,81
136,1175,4.9,66
237,1117,-14.2,41
710,1048,28.4,32
839,740,29.9,29
642,638,0.2,98
134,1008,-0.3,10
659,1365,-30.4,66
365,636,-4.3,44
