godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
640,791,-3.2,65
489,1272,-13.3,53
724,1598,-2.8,43
594,941,-31,19
557,1257,3.8,22
527,1620,-20.4,16
100,1510,-2.3,5
266,1363,24.5,84
137,1688,-29.1,66
836,1001,5,35
281,1028,-23.8,69
703,699,19.7,33
799,1377,-13.6,87
130,1540,-16.1,93
558,1158,33.7,93
231,665,10.5,7
627,782,12.9,33
979,1329,0.9,66
512,970,-14.8,78
826,1491,8.5,45
285,1506,-18.3,10
927,1761,39.5,85
473,1576,-19.1,28
434,1710,-33.2,7
988,1087,11.5,18
708,1620,-8.2,12
476,924,33.6,95
980,767,39.8,93
100,1541,-2,22
824,1572,-14.2,51
166,1136,-8.3,13
511,1677,30.6,38
370,1205,28.1,72
968,1692,20.9,5
294,1056,-32.3,15
292,1075,30.7,98
253,1295,14,17
526,910,8,99
755,1247,11.5,16
881,797,-35.8,96
911,1316,16.6,80
895,1483,16.2,98
607,1189,-21.6,49
890,966,21,97
844,1601,-19.8,59
123,769,-32.8,26
197,1180,-7.1,37
638,743,19.5,5
765,1444,-37.6,12
574,1163,12.5,50
618,977,22.8,73
847,1690,-31.1,34
888,630,22.9,36
238,1605,34.1,49
366,1085,37.9,67
178,1186,13.7,11
292,1765,-34.6,82
947,616,30.5,62
219,1445,24.3,20
485,1066,22.2,19
133,1393,6.5,29
863,1262,-4.6,90
171,1001,26.8,32
968,1658,-16.4,17
258,1639,-9.3,65
378,1440,22,55
676,1387,-13.8,94
308,1528,-21.5,80
294,1241,-39.1,27
702,1347,17.2,22
342,845,-1.4,18
500,1435,30,4
531,1727,34.7,39
201,1735,-27.6,73
334,691,26.4,28
994,1436,31.4,60
854,1398,34.2,81
728,1581,-1.8,1
688,1379,24.3,61
142,777,9.4,19
142,1672,-28.5,22
949,772,-25.7,83
581,1178,-23.3,70
139,1785,-34.9,22
282,1359,19.6,60
105,892,-25.1,88
417,1413,7,93
856,1331,19.1,50
511,1622,30.7,43
636,1208,-30.8,3
153,1798,-40,39
241,623,-31,73
507,1139,35.3,92
795,985,-29.8,62
269,1263,7.7,59
395,1189,-1.6,27
252,1557,0.1,34
476,1364,15.1,1
553,926,-24.8,91
233,1710,-23.3,34
905,988,26.7,58
164,604,-21.3,58
920,703,37.8,76
205,1404,7.6,95
285,1797,19.5,8
260,1118,-19.3,64
494,755,-37.1,33
387,1349,25,46
162,1463,-29.2,95
485,1215,38.4,92
848,644,-27.5,28
509,795,-21.6,52
223,1698,9,40
332,1356,10.7,67
492,1165,-34.2,17
364,920,27.4,72
716,1186,-16.7,2
592,1137,-0.5,51
827,1460,31.4,29
541,1736,13.8,64
876,1489,7.8,35
182,939,-37.5,94
277,617,32.3,98
379,1359,-13.1,47
138,631,17.5,45
724,1292,-6.4,59
582,956,29.6,7
477,858,-17.7,79
863,904,38.8,65
586,1485,15,4
134,1190,4.4,46
199,978,-11.7,60
432,1426,13.1,77
795,1582,37.3,39
740,756,6.8,70
816,686,18.8,76
680,1163,38.5,49
388,889,-39.4,84
337,1369,12.3,96
796,829,-23.2,6
869,790,-26.9,80
789,945,-36.7,53
351,1498,22.5,84
120,1494,27.9,62
343,1381,-1.3,58
404,1709,-21.5,82
233,610,8.2,46
152,819,35.4,24
415,1073,27.5,34
400,1306,0.9,61
377,1408,20.3,12
885,737,-32.6,68
341,890,21.5,19
398,844,-28.8,98
