godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
766,682,-31.7,30
781,1088,4.1,99
507,880,-37.3,57
300,1378,-11.5,10
173,1051,-16,69
447,696,24.4,19
728,1661,-28.1,93
555,1498,29.2,79
236,1720,8.1,2
442,628,-22.3,51
249,1719,-39,46
174,1308,-32.1,86
864,1765,29,16
178,895,-12.1,95
574,614,7.1,7
559,1748,-2.3,86
376,1422,-34.5,33
642,1088,14.9,25
747,1579,1.7,35
682,1657,20.2,29
549,1303,-22.7,56
560,968,23.3,97
279,1259,22.3,95
354,1215,27.8,32
272,960,-24,61
970,782,30.1,30
200,1110,-25.2,52
923,1172,-21.7,88
642,779,-37.2,92
445,1422,-36.9,44
417,1368,12.5,70
821,1518,-13.2,76
801,673,38.8,76
811,1251,38.8,8
687,1139,21.5,53
607,1795,9.2,29
341,1716,6.7,56
638,1238,-16.9,48
503,712,0.6,44
402,1557,20.8,12
934,1636,1.5,14
731,1095,-3.5,75
194,627,28.4,43
864,776,35.2,31
961,1405,-21.7,95
331,837,-24.8,22
789,899,-5,22
516,1568,-23.5,89
993,620,-8.3,71
675,1435,-38.3,8
193,603,-31,2
103,1263,15.8,5
516,870,32.2,95
563,674,37.9,2
382,1570,-30.8,92
898,689,34.5,69
584,1165,-1.6,30
775,843,30,73
405,797,6.3,18
451,1149,3,11
325,797,-12.2,21
765,1775,-6.6,43
921,1583,-4.1,55
630,840,-35.4,79
767,763,-3.4,24
593,937,-6.8,78
699,601,39.2,94
183,647,24.5,85
569,1124,26.2,22
749,692,34.3,64
592,971,-13,8
860,1693,23.5,14
412,1114,-27.1,35
139,838,-11.2,3
145,712,-4.1,51
739,1646,33.7,32
610,1437,26.9,22
917,1132,23.5,6
689,1079,29,53
186,959,-1,2
158,1333,7.8,21
220,864,9.6,31
868,847,2.4,28
957,992,26.2,33
598,1420,-18,6
787,996,5.4,23
189,918,-23.8,32
160,780,40.6,95
355,688,-3.7,97
112,1445,30.2,95
371,1769,-14.2,61
623,870,38.6,91
843,1642,27.7,79
982,1735,-15,11
424,664,-24.8,56
247,979,-37.5,37
769,1467,-7,50
476,1715,12.3,72
893,1432,21.6,92
663,977,33.2,71
942,865,-12.2,62
310,1143,-0.5,9
820,663,-32.7,29
757,1286,-20.4,13
606,783,-22.6,27
804,1223,17.2,54
629,849,-28.7,81
717,1176,-27.9,96
612,1228,-35.7,55
308,1272,-12,100
273,734,18.4,39
350,1427,32.9,71
933,891,-26.7,33
