godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
902,770,-34.8,57
193,1483,17.6,61
211,737,20,64
980,791,-22,93
884,829,-12.1,54
471,1402,9.6,64
297,1406,39.2,1
387,1448,24.5,59
765,1333,-24.9,47
995,1325,-14.8,39
558,761,-28.6,73
131,1001,-26.7,87
360,1088,-15.1,93
700,1468,35.4,76
619,1231,1.4,95
353,737,-29,50
768,1668,-10.5,65
130,888,-2.3,31
266,869,40.2,87
382,1091,-24,48
846,630,23.5,10
315,684,31.5,84
440,754,-21.7,77
328,1078,26.4,49
637,754,-23.7,77
961,1353,7.9,52
333,992,-38,65
298,924,14.1,81
245,726,-37.2,41
538,1022,-4.5,95
734,700,-3.6,42
561,807,-8,85
494,1526,-31.4,79
871,1768,-36.9,81
484,753,-10.7,55
957,1721,18,58
244,1736,-27.8,13
914,805,-0.5,8
959,788,24.3,6
998,1708,-34,73
455,1197,7.9,79
702,1419,-18.2,17
253,1579,3.8,3
895,1278,25.1,81
415,898,15.1,74
445,1614,33.1,11
873,1788,18.5,15
638,1430,39.2,10
677,1177,-28,23
956,1599,-39.1,14
378,1583,30.1,96
486,1529,-20,100
765,1479,-27.5,68
989,724,35.1,63
748,625,8.3,77
771,1020,-29.2,36
809,1503,-39.5,75
709,1040,18.1,89
842,1735,-10.6,42
327,1173,3.9,14
925,893,15.8,77
534,1435,-18.8,54
480,1533,-13.2,31
485,1735,22.1,14
423,1757,-32.7,86
706,828,38.6,51
184,1117,-38.1,50
536,894,23.2,84
623,1799,-38.1,79
307,1040,29.4,61
328,1695,32,30
641,1360,-0.4,28
939,1506,25.4,5
507,1322,-14.3,5
721,1404,3,77
582,774,-36.6,22
689,967,34.3,91
453,1079,32.2,98
219,1064,-19.3,27
646,1690,2.7,21
767,875,-7.2,62
708,1348,-8,74
471,1277,-21.1,21
349,1530,19.2,47
887,1276,-34.1,6
919,767,-35.7,36
839,1642,13.4,60
423,611,-15.4,86
878,1069,30.3,79
126,915,3.3,82
471,1415,5.6,60
699,1158,-5.8,5
196,1721,-0.4,76
195,620,-11.3,71
494,1593,-32,71
744,1140,-3.4,1
919,1065,-38.8,42
856,1579,7.2,34
303,976,38.4,27
700,1008,-20.9,62
701,1515,-27.2,57
655,896,-30.9,30
496,1180,-2.3,62
384,1752,-14.3,15
897,1432,12.2,99
774,1336,22,17
361,851,12.2,86
303,1592,35.9,85
878,899,-33.4,56
696,1497,-13.1,81
940,1668,19.7,67
839,1092,-19.8,69
222,617,-22,21
220,1096,-6.2,37
456,1772,8.9,49
791,993,-18.4,9
346,1399,-9.5,6
935,1461,34.1,35
886,1045,1.9,98
737,1514,30,27
244,704,-4.8,90
821,1763,-20.8,14
512,643,-15.1,100
183,1302,23,71
783,1653,-24.3,73
369,752,-39,22
530,1018,-1.2,54
616,1525,19.1,83
333,1647,-9,80
705,1212,-11.2,14
157,908,-19.2,55
129,1399,-18.6,62
198,1092,-2.3,94
314,1463,26.5,98
509,668,4.3,11
252,1219,34.4,8
648,749,-25.6,31
992,1664,17.1,86
286,641,15.5,12
120,1463,-3.5,23
140,1483,9.2,41
540,1423,9.9,48
434,1591,-33.1,16
141,1401,-6.4,87
371,1210,34.5,55
314,1773,-7.9,67
858,1100,6.9,60
668,1136,-34.6,4
799,1101,30.6,27
