godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
968,1093,-0.6,46
287,1317,-36.5,28
619,1596,-35.8,48
960,1579,22.5,3
857,1636,-32.3,10
126,1551,-13.9,95
880,1625,-2.8,100
674,607,39.8,76
581,1164,30.5,63
146,1018,-5.7,71
814,1422,6.5,60
925,1062,28.9,58
827,1065,-10.1,51
367,1329,15.8,81
341,1305,-26,3
334,610,-25,12
762,1614,-11.3,81
774,1769,3.4,42
300,605,-3.7,52
690,746,-8.3,27
878,604,-38,71
564,1029,-5.5,80
398,723,6.1,37
705,870,24,30
266,989,-38.2,43
315,1243,24.1,4
969,731,-7.9,90
630,755,11.7,9
616,1756,-13.8,40
617,1227,31.7,67
100,1537,32.4,52
182,613,3.6,77
179,1277,-31.3,48
584,1259,19.9,77
121,1612,-4.6,88
162,684,35,16
361,796,-12.3,78
811,1525,8.3,81
629,1053,-15.7,96
275,837,14.1,45
866,1577,30.7,98
601,1131,-9,81
347,892,8.9,85
892,696,13.4,17
409,1309,-37.2,29
287,1009,-1.3,95
549,1562,4.6,58
158,1722,-0.6,54
975,1230,-27.8,66
576,630,2.7,72
660,1665,-2.7,100
909,723,21.1,64
810,1327,1.4,88
955,959,20.4,27
787,801,-11.6,99
597,759,4.2,53
661,1365,-26.3,78
266,1488,35.9,5
165,971,38.2,50
271,1537,-8.4,32
155,1547,-22.1,20
894,1265,30.1,62
265,1726,28.1,54
853,1744,21.9,16
715,1461,-30.9,1
412,703,22.6,77
846,1161,16.3,79
639,731,33.3,100
683,1731,26.1,61
552,770,26.2,7
145,1720,14.3,76
755,1723,13.7,76
263,1527,38.3,96
497,733,-22,37
568,643,-12.7,81
461,1208,8.4,66
328,1267,-9.9,60
318,1330,-33.7,3
355,1325,-2.1,96
429,1229,6.8,68
365,1622,-28.1,37
107,928,7.3,20
335,1553,-0.1,44
921,1473,-31.2,39
364,1751,18.8,9
794,1236,4.2,84
629,1184,15.2,61
170,795,-2.5,25
638,1162,-8.5,45
496,1447,-6.4,16
118,1782,40.1,77
435,727,39.9,64
905,804,28.3,50
307,837,-16.3,25
775,1124,12.9,52
506,1733,-24.5,76
707,1124,-30.4,89
900,1374,29,44
969,1092,-10,100
384,1110,20.6,64
530,1061,39.4,87
285,1237,37.7,86
917,1794,-35.2,78
441,867,-9.8,57
890,728,-38.2,14
158,849,28,74
788,675,-16,15
115,1091,-34,42
994,1560,6.8,98
384,1446,26.3,61
684,1086,-17.7,1
784,1403,-29.7,36
995,1678,10.5,95
990,1613,13.9,68
219,758,34.8,26
695,1399,-29.5,70
989,1429,28.8,17
411,1706,20.8,85
552,1092,-17.7,96
747,1310,-34.4,75
601,1630,28.2,12
913,613,-25.3,47
139,1728,29.2,33
573,1226,18.5,37
870,1783,12.8,83
480,1075,-23.9,11
460,1606,34.2,36
509,1309,5.7,46
713,854,33,85
947,1477,-6.7,83
268,610,-9.1,20
369,1421,33.2,78
958,1024,-32.2,81
812,1289,-15.9,33
981,1181,21.6,71
286,896,-2.8,98
154,872,-19.9,97
256,1780,-28,83
108,1131,-22.3,65
904,875,-36.7,27
320,1646,12.1,95
816,822,-23.7,64
968,898,19.2,13
709,1249,26.4,46
180,635,-26.4,25
826,1151,28.6,74
489,1091,33.7,62
656,1511,29.4,10
790,612,-1.2,49
825,1221,25.3,9
147,737,38.4,71
598,1103,-26.4,10
719,891,33.5,79
313,1151,34.3,62
740,821,25.4,99
110,1240,9,31
160,1620,6.6,74
730,1129,33.5,78
663,711,14.7,94
514,1041,-38.4,17
667,836,16.4,27
464,1546,-4.1,99
990,923,26.4,23
833,1503,27.3,41
477,1270,-39,67
401,1617,38.6,14
954,1578,-18.5,6
456,1120,15.6,90
864,1033,30.8,70
702,1425,-38.5,39
844,753,34,57
138,1609,-26.3,83
710,600,7.8,13
575,1270,-14.3,98
318,813,22.3,54
757,1452,14,88
365,1370,36.7,15
904,715,-7.9,81
170,1261,-13.1,36
340,1645,-23,1
706,691,18.5,90
889,1756,-2.3,65
942,1510,-16.5,46
446,850,4.2,66
185,1242,-13.4,91
334,1161,-29.5,8
881,924,33.9,99
925,634,-27.5,67
126,1149,-15,69
550,1511,25,9
447,1245,-18,34
245,1393,-13.7,56
963,741,17.1,62
222,1593,29.8,50
340,1239,-10.3,19
779,1261,-26.9,25
878,1343,-12.1,7
508,1195,-4,52
522,1672,-31.3,5
186,1276,-36.7,14
397,1046,-35.7,55
480,903,-24,13
290,843,-0.5,44
599,832,-34,15
118,1695,13.4,76
376,1129,-11.2,96
858,1761,15.8,51
533,873,-38.2,56
546,1654,37.4,60
509,1162,32,51
636,1009,39,35
381,981,38.6,64
184,930,-14.7,50
673,637,28.5,47
262,1029,3.9,74
250,1077,26.9,65
446,1306,-31.3,62
102,1071,-32.1,4
585,1524,36,11
480,1181,-22.4,89
747,1753,-3.2,18
818,1715,7,90
648,620,29.1,17
502,675,-11.3,36
228,704,-30,90
557,647,-9.1,86
101,863,-22.2,44
107,1653,-27.2,1
925,1182,10.8,35
226,1199,12.4,99
953,776,-12.7,96
717,1284,-18.1,92
159,1237,13.8,56
754,966,2.8,49
110,1279,21.4,37
325,1514,-14.9,30
772,1000,-34,80
507,1757,32.4,85
720,810,-15.6,32
115,1797,-18.8,19
247,1623,37.2,2
713,846,-23.2,92
856,1413,-17.7,99
945,746,13.9,77
493,746,-29.3,79
459,1739,-7.4,81
927,1591,-39,23
853,1176,39.9,2
720,743,22.3,2
179,1595,-27,67
788,1150,36.2,24
634,885,-34.2,10
273,1407,-8,46
910,836,-23.5,5
390,1729,-26.4,53
475,1284,-20.4,38
151,974,-24.7,34
552,1124,-39.6,78
405,735,-17.3,13
474,1183,-13.4,52
839,866,-27.5,37
942,1152,-28.4,6
811,1735,31.1,70
709,1791,-12.2,29
606,1304,9.6,51
210,798,30.9,41
359,1717,24.4,5
998,713,-27.5,9
945,692,-13.9,68
752,1343,-30.6,54
818,1585,32.6,76
466,1063,18,28
990,1396,-29,59
143,657,-19.8,44
654,1184,40.2,37
552,647,-33.1,57
771,996,-23.1,74
952,1757,-35.7,21
569,998,-9.8,53
430,1366,20.8,98
839,1510,-19.1,32
657,631,-15.6,80
772,621,-39.6,69
