godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
412,735,-1.7,35
368,945,3.5,100
752,1386,-38.1,95
570,1484,-29.6,16
543,957,-2.4,86
871,1099,-16.6,34
278,664,0.6,25
857,1226,9.8,10
800,1540,-31.2,1
526,1620,-23,31
818,968,-10.4,71
269,1692,-20.6,2
902,1634,7.7,26
884,965,26.1,43
663,1342,21.1,31
689,1170,-18.6,76
990,1045,-14.4,26
572,1479,-29.5,71
714,782,11.6,31
657,1789,23,67
128,1379,-22.7,2
917,1257,5.4,94
872,914,26.1,22
742,1640,-6.5,39
364,740,-8.4,98
103,953,-1.9,96
822,1352,33.9,84
905,1555,-28.7,88
465,803,23.8,55
291,1638,-0.5,83
777,1770,32,87
994,1241,-4.6,21
869,818,-10.7,39
680,786,27.2,44
713,1310,-19.2,69
649,1075,13.9,23
331,655,-25.2,64
384,915,-22,21
391,803,4.9,65
273,1190,-35.4,31
115,1747,-3.8,38
533,1168,-7.5,23
890,969,5.3,79
871,1350,-25.2,87
816,840,16.3,77
577,1170,-15.8,79
243,1521,27.8,70
215,768,-16.4,63
500,1558,13.9,9
363,1457,6.4,33
845,1036,28.9,90
381,1067,30.5,19
804,878,-25.7,28
809,1255,-11.1,69
555,619,0.9,58
397,1064,3.8,82
898,755,20,45
186,1399,-18.9,23
663,1098,-13.1,86
104,1308,8.3,20
490,1662,-18.5,11
395,1001,-34.9,100
128,1563,14.8,61
422,987,-31.7,99
816,629,15.1,88
177,612,-30.3,49
925,942,22.5,59
294,1549,27.8,54
254,885,3.7,6
129,971,32.4,99
693,1229,20,62
211,790,-39.9,51
121,1296,8.4,16
720,1657,27.1,11
339,869,-31.8,11
125,658,3.7,70
445,1733,22.3,38
508,1683,39.1,2
419,1210,-24.7,96
117,1210,-22.2,33
499,1544,-9.6,97
746,1430,35.8,25
616,1770,-10.3,39
197,1219,7.8,60
617,1061,6.2,43
309,1465,-5.2,82
179,678,38.7,6
698,1654,26.2,34
451,806,38.2,16
894,1005,8.6,19
665,806,-22.7,77
230,1651,37.2,61
845,1574,-19.2,33
898,1188,7.5,75
170,1278,-35.4,5
755,1201,-0.4,42
977,836,35.6,28
822,1050,29.8,20
396,1295,24.8,56
699,1575,17.3,96
986,786,7,69
465,1515,-8.9,53
277,848,-2.5,49
859,916,7.9,98
854,1713,-27.7,47
898,1646,40.2,92
762,1714,14.3,39
782,714,10,84
274,1200,8.4,96
338,1280,-30.3,90
916,1260,34,68
787,703,-30.4,21
644,662,-6.8,34
287,1356,9.5,59
892,1471,-33.3,72
916,1618,-33.5,96
127,1040,35.5,29
750,1642,12.7,33
921,706,-31.2,4
389,726,39.6,71
601,1210,-15.1,15
297,1337,26.1,59
879,1576,11.6,70
913,962,25.8,23
670,1184,11.4,95
435,1557,7,28
877,1309,23.3,84
454,1155,-12.1,35
167,1005,-9.9,80
427,1563,-15.5,74
832,781,-39.1,18
113,1737,34.4,81
720,713,-36.8,58
343,1154,10.5,4
961,997,-24.2,8
115,981,-12,53
461,1289,-35.1,41
681,624,-17.9,100
285,892,-12.3,41
553,753,-19.1,76
249,1143,-18.8,43
169,1373,-17.6,90
910,684,32.2,58
126,1237,-8.2,54
348,1411,-9.2,75
736,1719,-13.6,76
237,1726,29,91
316,1695,5,36
317,1339,2.5,62
126,1019,9.2,45
834,1793,-7.8,8
883,1236,32.4,64
272,910,34.3,43
897,645,-1.7,8
802,1425,-14.2,41
660,720,-15.2,21
984,1186,14.1,45
771,1741,32.4,91
243,1449,32.2,14
614,1370,12.1,27
616,1692,-39.9,1
642,855,32.3,99
255,1472,5.4,44
295,1589,11.5,22
265,632,5.6,32
661,990,-0.6,99
350,1759,14.1,24
129,1124,-1.8,95
268,1299,17.8,4
202,1379,12.9,100
245,1221,-38.2,94
325,1545,-2.4,28
554,1055,0.4,54
168,1035,19.9,66
746,1491,37,86
992,674,-29.7,95
470,1336,-19.6,52
460,1552,28.7,35
571,692,28.5,34
298,883,31.6,28
340,1486,-21.1,91
398,682,-7.4,83
902,627,13.2,88
627,1196,15.6,85
707,1687,-34.2,37
537,1297,-37.3,21
322,1717,-1.9,22
224,678,3.8,68
249,1392,20.8,93
295,604,-11.5,23
332,1338,-33.6,23
546,626,12.3,48
675,1773,-10.7,32
519,1555,24.6,74
703,998,37.1,65
150,859,-28.7,4
760,1798,-4.2,29
144,1334,-16.5,2
597,878,3.4,1
983,1567,-16.3,34
723,770,-5.8,2
275,1227,26,41
865,1728,24.5,59
797,1420,5.4,42
694,974,-6.4,62
373,639,14.4,3
329,1285,28.5,85
975,823,18.8,16
506,700,20.1,83
513,665,-5,52
432,1555,-38.7,46
752,1454,23.1,56
505,1682,-3.2,43
548,956,-20.7,85
296,1205,13.5,33
516,1330,-30.7,75
536,1401,17.2,86
187,948,-39.7,18
636,1458,-13.5,15
991,1186,-11.6,74
679,872,-34.5,8
342,1210,-36,11
995,980,4,88
959,1065,24.6,88
555,799,6.2,42
771,1558,-17.5,52
677,1710,11.1,90
735,1040,5.3,40
757,1602,21.1,39
