godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
371,1367,36,99
224,1383,-35.5,29
998,1269,1.7,20
776,1754,38.1,36
538,1461,-15,54
758,1470,12.5,53
356,674,-14.1,24
943,966,16.8,55
506,621,38,6
987,1747,8.6,70
356,856,-39.5,34
335,739,35.9,38
594,848,33.1,85
930,616,14.2,82
985,1668,-38.3,55
889,1604,13,78
894,1150,11.9,60
290,1780,-18.2,74
521,1517,20.4,38
956,1219,-6.6,14
877,1158,-35.4,71
958,612,21.9,22
780,804,-3.2,45
550,1793,12.6,71
603,1736,21.1,41
754,1301,-26.3,63
988,607,-27.4,67
805,1559,9.1,91
481,1735,35.7,60
270,675,10.1,26
363,1696,-34.8,89
969,1214,-28,3
906,607,-9,69
687,1588,30.2,77
585,1465,30.8,21
881,863,6.3,14
793,619,0.1,27
397,603,40.9,95
304,929,35.3,27
350,1229,32.9,93
681,1683,8.1,78
897,938,-30.7,11
240,1577,-24.3,98
671,1038,-30.1,28
832,964,32.9,82
743,1592,-4.7,37
945,947,-18.7,64
955,1598,19.1,54
297,646,11.7,21
774,1510,27.6,90
989,1648,21.3,63
337,867,20.6,52
409,1653,-20.4,66
923,1387,7.3,6
109,1421,19.9,73
683,912,12.1,47
459,1632,-29.9,27
779,1359,-30.6,40
641,640,-16.5,9
260,1442,-12.9,45
181,1363,-34.9,40
807,697,35.7,73
338,1032,-3.1,54
583,952,32.2,22
831,938,39.7,52
313,1019,-24.2,67
488,866,38.6,40
819,1433,-3.9,15
129,616,2.3,56
539,792,-34.7,65
632,1382,-39.9,76
431,1194,36.9,34
905,1171,0.9,6
975,1563,37,78
869,1527,8.5,45
657,1101,9.8,5
504,1286,27.7,3
971,728,-20.1,73
180,1753,-22.2,82
348,896,-24.3,99
716,1667,-2.1,86
419,1620,32.9,51
221,1199,34.8,41
973,1056,39.5,27
160,1568,-14.3,2
884,646,-28.9,94
223,1552,13.9,88
619,952,-28.6,91
928,1424,-28.6,27
776,1134,3.7,31
193,601,8.4,7
504,1535,38.5,95
529,875,-15.5,94
331,1378,31.1,13
863,1432,28,39
377,1600,-29.9,89
973,1029,21.9,70
140,853,3,91
685,1782,40.8,29
511,802,2.3,79
982,1720,24.4,92
444,1538,28.4,28
746,1708,22.2,6
862,1729,-14.7,25
236,1714,8.7,38
988,1658,-17.1,79
217,614,-11.8,99
639,1390,7.1,69
571,1055,16.7,87
145,1598,6.3,45
633,1022,-4.5,20
979,660,-27.3,3
943,649,33.3,39
266,650,30.3,67
942,1688,-37.1,67
560,1308,-8,74
865,1113,-8.1,63
122,1698,28.2,23
342,1047,-17,47
168,1308,14,74
686,1524,15,70
177,811,-31,58
302,671,-28.4,92
373,1077,14.7,64
394,690,30.6,80
666,1153,19.5,33
786,1678,7.8,30
443,1558,-34.7,19
177,983,-34.4,34
749,926,-0.8,23
489,1484,5.5,81
498,1025,-31.5,76
126,1640,-3.6,66
760,1409,-4.7,63
755,1117,-18.7,45
513,849,4.6,86
735,839,-26.9,75
520,812,-21.3,75
867,1488,-16.7,57
944,1152,28.4,97
652,724,1.4,85
641,846,-2.2,55
845,744,27.1,21
611,1507,-5.8,43
690,1230,-9,88
638,858,28.7,99
447,1364,13,67
609,1028,24.2,24
584,847,8.9,18
422,960,-6.3,93
473,1306,-22.8,68
208,729,25.3,20
589,1540,-12.2,34
513,1059,-36.4,14
169,1169,-20.2,54
645,1118,-16,28
536,1162,30,99
194,1450,-22.4,68
551,1410,17.3,34
380,1375,-0.9,30
