godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
590,944,-36.3,1
856,929,-0.8,51
235,1311,-21.3,57
472,1210,25.8,52
754,1301,-14.6,67
871,702,-16,44
162,1739,9.5,70
101,687,13.2,67
922,1503,-4.8,5
479,918,26.2,58
131,1214,-3,47
681,1695,31.5,33
458,899,2.8,33
205,1217,2.2,89
912,1051,29.9,64
408,1521,-27.7,41
546,879,-38.1,23
217,737,11,41
677,1105,40.6,71
791,1426,-26.3,64
110,1021,-16.6,45
418,1298,-14.6,5
902,736,34.8,97
733,957,6.1,40
669,814,12.4,88
907,1175,12.1,69
609,704,36.8,1
308,743,-7.7,64
158,1179,-37.5,44
380,791,-19.8,13
803,1709,36.1,31
334,1147,-28,46
942,1058,-32.1,26
550,1690,23.1,92
575,1365,26,28
366,933,39.3,63
701,1671,3.4,22
938,1310,-38.1,14
753,1629,-32.3,67
503,904,21.8,37
180,795,6.6,90
156,1526,-14,1
654,1695,12.6,66
450,795,-9.7,89
184,731,36.6,66
421,1712,-3,6
677,1143,29.1,18
379,647,7,28
432,1263,-9.8,76
316,1400,-36.4,89
740,1576,31.5,93
102,1690,35.6,1
341,919,39.8,18
955,1072,32.4,52
765,797,-25.8,2
184,679,-7,82
672,674,-22.7,92
837,991,7.9,84
229,1493,-32.2,19
398,1792,-9.9,97
968,671,37.8,20
752,1328,17.5,76
245,882,-14.1,43
137,674,10.5,18
660,1749,-7.7,44
728,1075,-34.3,1
641,1367,31.7,11
897,662,10.7,65
676,1014,-18.3,9
343,722,18.6,91
983,1455,-25.2,1
178,1010,34,13
721,1058,23.6,62
178,1700,-27.8,29
151,704,27.7,66
903,797,-20.5,71
641,714,15.4,4
449,1382,6.4,51
849,1066,36.6,35
635,1210,-15.5,19
199,1581,24.6,37
198,906,13.5,74
549,1674,-15.8,28
543,647,-18.4,57
598,1311,36.7,80
244,965,-29.7,86
274,743,18.9,75
431,624,37.4,56
729,789,-5,25
586,725,-23.6,7
768,1005,-20.9,49
848,1104,23.8,64
924,742,1.1,54
145,601,-26.8,99
555,856,20.1,2
967,1252,-8.9,58
982,919,-4.8,26
221,1230,0.4,54
852,970,-31.4,2
882,921,-30.2,80
747,949,7.2,95
309,1165,5.2,88
209,1440,-14.4,23
201,1688,-20.5,50
1000,1250,35.5,25
880,963,39.2,95
980,1481,39.1,73
181,786,-2.8,46
305,1370,-3.1,55
514,1772,39.8,88
131,1116,28.3,97
291,747,-27.7,51
162,1384,23.8,100
848,1400,-20.6,67
432,921,10.6,45
420,621,1.2,48
898,1203,-22.3,9
382,1670,25.3,10
609,650,-25.1,84
686,1600,36.7,51
935,695,-21.2,29
316,1443,39.6,14
680,654,1.4,88
473,1448,3.4,38
471,800,7.5,45
787,1016,31,19
905,1667,-29.4,12
957,778,-15.1,92
770,1576,-29.3,63
568,1584,9.4,82
680,1577,0.5,36
188,798,13.2,24
106,1354,-19.2,58
637,760,16.9,31
852,1655,22.7,86
783,1641,2.1,75
694,1373,-13.6,19
636,1172,-37.6,30
662,705,32.7,82
342,867,21.3,58
886,1768,-36.4,12
226,837,7.1,59
559,689,-17,40
932,1088,-0.8,76
922,1133,33,95
268,1734,25.6,17
742,1429,1.3,14
386,1766,26.1,37
734,889,35.3,61
720,1792,38.2,6
741,1184,-9.7,66
416,1383,12.4,73
650,1586,-17.6,91
975,1624,-24.1,37
653,673,-14.5,83
618,898,13.8,80
835,1067,-11.9,59
980,1159,-29.1,46
417,1429,-19.5,75
650,1118,14.9,66
796,1426,10.4,67
207,989,-32.7,68
249,847,12.1,73
219,978,-20.4,46
192,1741,-35,97
742,1221,0.9,70
544,656,-30,85
750,1301,18,50
245,1524,1.6,35
270,1065,-29.2,30
760,997,34.7,45
537,1402,-11.6,88
923,854,-33.5,3
100,1313,-27.8,3
850,1709,-4.7,77
894,1764,25.6,11
798,1092,-6.2,63
299,1076,29.3,27
748,857,-22.6,66
825,786,-15.8,7
653,1206,-32.2,63
489,1685,-17.4,21
585,1319,-25.5,49
232,781,-32.4,92
304,1782,-28.1,72
207,1735,3.1,8
675,1730,-20.4,14
562,1731,26.6,31
428,1178,13.5,80
130,1026,29.6,42
861,878,4.1,31
795,1788,37.1,35
257,775,35.7,82
875,634,25.2,21
697,744,1.1,4
598,1785,-21.2,14
577,1395,-29.5,67
692,1097,-34.2,77
713,1402,19,6
740,1726,-11.6,37
377,616,40.3,59
440,1729,-7.8,77
687,732,40.3,21
832,915,-8.3,2
207,1159,-36.8,73
586,1331,40.5,40
829,1413,7.8,28
915,997,-9,21
906,1575,-35,86
367,1468,9.4,44
385,1116,-4.1,87
116,978,-12.5,52
908,1643,-6.8,7
569,1688,32.2,4
768,702,5.5,61
384,1782,-25.2,88
389,1226,5.3,69
542,1703,13.6,13
329,1338,-27.7,25
797,866,-23.1,59
665,1769,34,77
464,1030,37.7,28
231,1569,-7.1,33
701,1644,-36.8,36
341,829,36.5,52
352,1168,-7.6,94
295,935,-33.9,45
259,1436,-31.7,2
888,689,2.1,11
536,741,0.8,7
751,846,-17.2,74
689,823,-31.9,75
735,1784,16.2,88
537,1478,27.7,99
323,842,1.3,81
392,815,9,25
726,1799,24.5,63
352,1027,6.8,64
718,1374,2.5,4
395,1561,36.5,47
865,1560,23.8,29
975,921,-12.3,15
877,1532,35.8,48
335,1496,21.7,82
243,1287,30.8,29
124,623,36.6,28
374,918,-15.2,84
340,1554,-9.3,70
167,1755,36,31
632,1405,30.9,31
404,1192,15.8,11
782,1198,-20.5,8
851,1037,28.4,97
994,1215,-0.4,88
309,763,-37.7,39
699,1346,12.3,64
202,1330,-15.9,22
155,741,-28.5,32
822,1646,-26,6
377,925,25.7,42
531,1797,-29.5,29
431,728,38.1,47
763,1021,-14.4,50
379,1721,-25,33
630,1492,-29.9,99
131,1793,-35.8,11
805,1081,-2.1,31
592,1218,-39.3,6
329,1242,29,27
162,1389,-6.4,67
764,1742,-9,83
