godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
756,1027,-32.4,8
645,773,-29.7,7
907,1550,39,53
899,842,20.9,64
337,1162,31.2,41
136,963,17.2,59
272,1691,11.9,98
761,980,-8.5,33
624,626,-13.3,90
689,1551,-2.1,10
633,1794,3.4,31
758,826,-37,99
276,1750,-7.7,25
541,720,-8,75
245,1023,-14.4,71
194,954,20.6,92
542,1713,17.6,56
637,1499,-30.3,38
985,786,27.8,92
176,1484,-30.8,76
863,1589,40.8,62
397,1114,-28.2,36
284,826,30.8,5
118,939,-36.8,84
762,1422,38.6,44
786,769,-34.3,20
958,1474,11.3,43
931,1474,-12.8,60
395,634,5,35
583,984,36.8,78
235,1027,16.3,6
432,869,28.3,81
755,1499,5.9,47
639,996,32.2,59
922,1368,17.8,24
463,654,26,22
870,882,28.8,69
313,1606,-38.5,31
359,1616,28.1,27
221,1271,34.8,37
366,1550,-8.3,91
514,603,-5.8,12
226,1541,-20.6,53
716,1511,31.4,18
414,1248,32.9,63
210,733,-32.7,64
493,1508,-19.1,70
999,1676,-7.4,44
800,1118,10,17
794,1343,28,95
891,1019,25.5,29
1000,1752,11,92
941,1573,-38.2,93
559,1443,5.2,35
322,601,22.7,52
691,1140,-30.1,5
839,733,-32.7,64
391,1175,-14.2,15
506,1798,37.3,59
630,1301,-12.4,40
807,1719,17,96
807,1522,34.4,80
658,669,3.2,100
392,1187,-33,95
526,951,-24,73
704,1317,21.8,73
479,1681,-28.3,33
373,696,6.9,54
767,1172,-29.9,75
161,1688,30.7,62
688,1495,-5.9,45
496,1164,20.6,98
336,880,-13.9,33
276,1120,13.1,47
211,1329,-15.3,3
281,1533,-28.6,56
699,855,10.2,17
827,1491,39.6,23
490,939,-20.9,50
486,1167,-23.9,34
362,889,0.4,70
204,961,-18,47
850,1235,-27.8,72
101,1782,-12.7,83
154,1190,-6.3,56
569,1112,-2.8,13
620,711,-3.9,24
983,1507,-20.1,76
748,896,4.1,18
226,625,-7.3,90
737,1007,-35.7,45
215,694,-6.4,74
379,725,-12,24
440,1290,-30,94
173,888,16,99
374,1637,-0.1,42
304,638,32.9,45
487,973,-35.5,82
990,826,30.6,10
902,681,24.1,36
244,1508,25,1
624,1078,-33.5,89
967,1179,-7.2,49
309,1361,1.3,37
890,1474,-4.9,66
440,1291,-3.3,69
383,1349,0.1,64
436,797,6.5,85
183,1424,19.2,55
430,1241,27.4,38
703,1068,21.2,25
888,1259,4.7,81
310,708,-10.1,83
258,1148,17.7,60
347,1002,-11.4,50
982,1507,39.6,47
905,774,8.8,85
339,1082,4.9,91
761,868,11.8,15
645,1209,14.3,30
161,1283,6.7,3
526,1320,24.6,54
455,1060,15,28
344,1097,-36.1,68
290,1015,-11.3,39
646,878,-1.6,36
143,1466,-34.2,38
471,1314,-36.2,94
648,818,-15.2,100
632,719,-11.1,40
949,1714,-6.9,49
866,1747,-20.7,22
512,1054,22,31
611,1612,2.9,37
927,1466,-14.2,49
986,1607,-25.2,7
504,1786,3.6,17
648,1516,-11.3,24
581,1255,21.3,29
501,1439,-38,67
117,911,20.8,1
530,1133,-8.6,47
788,691,-22.8,79
336,1552,-7.1,13
674,1418,-39.7,44
118,1408,-2.4,52
540,745,-0.9,99
676,1741,26.3,34
458,861,-34.4,33
697,1724,4.9,52
976,1316,25.6,6
342,679,16.8,95
587,1659,33.4,71
390,1741,17.8,82
522,603,-15.6,72
892,1581,29.2,64
891,658,8.9,81
453,1138,7.8,86
630,952,26.5,40
256,1072,-31.1,92
594,1480,-13.8,60
193,860,4.7,26
980,1189,-7.8,54
737,1264,12.2,6
385,1366,-38.7,19
111,1006,-37,36
542,1202,-36.1,75
274,1655,30.7,53
553,608,31.8,9
931,1434,-33.4,70
226,1267,-35.7,69
582,959,-15.8,87
699,906,22.2,71
381,1707,12.1,54
141,1566,7.1,75
538,1540,-37.5,17
427,1694,21,73
243,1403,29.4,33
287,790,19.4,92
774,1647,-7,9
717,1084,19.5,17
508,1330,-29,90
563,779,4,34
169,1216,-10.1,47
267,656,-11.1,24
570,1652,-33.7,98
236,1653,4.9,96
966,647,1.9,63
221,1632,38.3,13
933,732,-24.4,87
400,1702,21.5,96
590,1516,-13.1,89
724,682,-33.5,63
918,661,-16.7,84
613,1332,-21.4,25
212,1228,-14.2,11
813,1777,-16.9,97
655,1406,35.4,75
536,876,-29.5,3
155,738,9,23
594,1358,14.5,97
105,1093,11.6,7
647,918,24.7,89
340,1428,6.7,51
928,1691,-38.6,72
765,839,-4.3,22
123,1307,5.5,82
710,1171,-39,16
563,762,-35.5,34
377,1674,-17.3,3
914,798,26.1,83
530,1710,5.9,21
701,1589,-6.4,26
322,633,39.1,75
780,1666,16.1,53
395,781,36.9,9
957,1101,-25.7,14
716,897,-18.5,86
247,1765,-4.6,9
823,1779,38,46
704,1307,-26,50
437,670,-16,43
982,1441,38.4,83
893,1701,27.2,69
474,1290,27.2,60
540,1475,-21.6,76
569,753,-32.9,31
384,1670,21.4,93
912,1769,-30.7,35
755,1602,-24.1,55
470,1654,-22.4,81
870,1127,20.2,36
647,1166,3.2,73
335,1424,-10.2,29
578,1345,-36,33
871,1652,10.3,27
301,1694,17,58
972,640,8.2,97
636,833,21.6,79
526,1077,-15.3,95
277,1582,-11.7,44
480,1713,-25.5,71
100,1143,28.8,18
462,1164,19.1,19
662,1291,16.2,39
937,1072,23.4,82
607,775,31.8,9
198,1561,-31,23
207,825,-34.9,7
107,1037,-25.1,37
598,1054,24.5,32
401,837,-28.2,72
405,1010,-26.7,71
629,1416,-17,72
678,1091,-32.6,11
225,1699,28.3,45
503,1693,-36.9,25
532,1490,-3.6,95
495,817,-1.4,72
729,1497,-26.1,93
284,1531,-19.8,16
723,1139,-23.6,64
993,679,-10.3,21
170,1189,-15.9,89
774,1642,15.7,75
899,1555,-18.3,19
401,1262,-2.7,64
816,1464,-19.2,28
595,985,-2.2,78
541,713,-19.6,67
373,1537,-26.3,80
129,725,32.9,69
350,696,-37.8,48
321,703,19.8,84
559,855,30.5,72
203,1637,-10.3,45
873,1364,36.7,73
697,988,-35.6,28
266,872,-1.7,40
147,1124,17.4,75
879,1571,26.5,18
339,1623,35.4,5
246,1224,28,4
915,1073,23.7,31
470,1756,-32.5,19
295,965,10.7,80
439,660,-1.7,94
317,1395,-9.3,92
141,1138,9.5,19
365,874,-4.9,99
219,1562,-37.5,16
823,610,-9.6,62
127,1460,19.3,54
353,1577,24.4,80
993,773,-23.8,34
857,1276,-39,74
233,1398,-28.9,83
136,1762,-10.7,1
889,1530,-11,69
852,687,-24.4,86
789,1082,-29.6,42
108,674,20.2,58
429,767,-15.1,74
533,1699,-4.4,64
147,1496,39.1,35
750,1538,-15.4,87
377,699,-35.6,100
881,1294,-18.4,72
546,1690,-32.5,69
771,1264,38.2,72
510,644,23.2,7
618,1309,13.2,30
796,1620,-4.9,99
973,635,1.9,70
138,1457,21.8,64
736,1027,-20.9,14
415,1042,25.8,14
994,1515,11.1,74
649,1744,-21.1,70
321,1762,-30.9,46
914,1514,-24.9,23
920,1720,-28.3,30
722,1342,28.1,81
464,1054,-3,45
547,1614,-14.3,77
682,1129,35.7,55
219,883,-16.9,40
172,1423,7,11
785,1649,-10.7,39
705,1228,-10.8,3
650,1413,-24.7,26
702,1383,7.7,99
510,732,6.6,95
575,1463,-21.8,32
691,1330,-13.8,90
549,1075,-37.5,63
313,1054,-33.4,13
955,768,-3.6,86
172,1494,-35.7,26
493,1533,27.8,46
380,1143,13.5,13
845,802,23.6,46
488,1329,8.6,7
311,674,27,22
686,701,17.3,98
866,1004,-4.9,23
236,700,-38.1,10
525,1128,-20.2,16
249,739,-9.1,95
268,623,-9.8,15
310,1081,-15,95
257,1228,-39.3,53
595,1640,-6,17
677,1174,32.7,100
489,970,30,6
297,765,-30.3,9
864,1238,29.7,6
385,799,-5,18
248,1763,-32.4,40
757,661,-26,18
902,722,19.8,61
861,1587,-37.1,84
492,858,-32.2,83
491,1208,-24.6,78
149,1790,17,54
778,1606,-13.4,100
472,1366,17.4,16
256,1769,5.7,83
495,1632,-28.2,59
149,1073,25.6,94
521,936,13.4,26
239,1294,3.2,95
930,705,-39.2,41
982,945,9.4,29
287,690,-28,67
625,620,1.3,42
490,1494,-11.5,63
748,1499,-36,78
454,1137,-22.6,23
926,1396,-6.9,43
367,869,-14.8,51
560,1233,-3.8,5
432,1032,-35.2,13
112,833,4.9,29
691,1022,35.5,5
991,1625,-28.2,10
149,1532,37.1,58
150,991,-0.2,18
653,1550,25,80
771,1151,-38,55
819,1206,-15.8,99
655,657,-35.3,64
217,1396,28.7,34
491,1775,-10.5,48
453,1486,18.2,80
737,663,-14.7,58
428,820,-33.7,45
802,1144,-17.1,68
539,1552,-27.9,33
832,1285,20.2,77
178,1620,-36,100
415,1359,-1.1,69
165,1411,11,62
287,1060,25.8,20
637,1266,34.8,91
643,1629,37.7,48
625,748,-39.3,40
365,1575,-35.7,62
912,1661,-29.6,34
930,1647,32.2,91
806,1180,-17.1,39
383,1230,-33.2,22
233,1139,23.6,24
399,1454,38.1,26
288,1796,-24.9,56
858,1414,30.5,42
802,1299,-9.8,37
351,1255,34.6,32
714,1179,27.2,75
513,633,29.2,39
518,1229,6.5,31
749,1199,40.7,95
343,1456,-24.8,12
201,871,-0.8,62
353,1480,11.9,12
555,669,32.7,84
849,1399,-10.5,18
663,1767,35.8,57
418,1096,27.4,14
930,1701,-18.3,37
744,674,23.4,24
954,1632,-18.5,6
648,1511,26.3,2
401,1674,-34.6,74
904,1051,-37,72
120,906,7.3,19
768,1576,-36.2,19
266,1800,27.4,64
851,1723,40.1,35
424,881,-2.2,31
559,717,18,30
724,1525,-10.6,63
152,872,-15.5,29
695,1055,39,7
199,1185,-21.3,17
393,854,-15.6,74
708,722,19.5,69
538,1660,-37.8,19
104,1437,-5.7,49
994,626,-26.1,9
666,1008,-15.4,78
890,1347,21.5,39
335,1006,-3.3,18
752,1531,35.2,88
247,1538,11.8,69
886,1630,5.6,38
772,823,-26.8,82
265,682,16.7,21
304,844,-21,55
575,833,30.1,80
111,1462,-38.1,31
522,1012,23.2,49
912,1727,-22.8,74
934,1562,-33.2,4
468,1596,8.2,66
380,1720,28.9,13
236,1083,0.3,14
610,1087,21.2,13
648,1584,-27.5,35
655,1757,-23.9,3
231,1544,-27.2,81
891,943,-19.6,91
1000,1369,27.3,56
172,607,1.4,90
895,1082,18,8
554,1535,25.8,30
983,1532,-19.9,61
257,1276,5.4,59
121,995,-26.1,72
907,1499,-32.8,92
815,684,-33.5,9
853,1299,-3,12
896,889,1.8,69
207,938,20.5,26
927,1590,1.3,47
525,755,37.9,14
647,859,34.9,2
887,1260,6.3,30
692,1166,-12.2,69
686,985,6.8,20
987,1110,-25.1,46
212,1469,-10.1,85
863,1204,25,97
480,1482,7,51
963,1598,22.4,63
847,603,16.4,13
441,922,6.1,58
483,887,18.8,67
996,908,13,19
986,1098,29.5,68
911,1225,18.3,97
823,1288,-7.2,59
577,861,-23.2,15
594,1330,-16.2,17
472,651,25.3,23
583,685,16.6,92
159,1475,28.5,56
907,1372,-2.8,21
898,762,7.1,15
400,1588,-13.5,83
942,1669,-34.9,97
884,737,-0.4,97
475,1312,-37.9,95
415,783,20.5,80
810,743,5.4,62
496,821,-29.9,25
959,1565,26.5,99
375,811,-20.9,53
720,1411,22.2,89
403,1490,30,31
465,1072,-6.6,99
540,603,37.7,39
459,657,0.6,31
331,1635,30.2,54
933,1785,6.6,70
468,1150,7.4,42
958,1748,16.4,21
669,1029,-25.8,48
527,1251,-12.9,68
743,1221,-24.3,100
648,693,-11.6,64
378,966,12.5,54
677,1223,34.7,13
785,1210,22.5,40
768,764,16.2,42
587,826,13.9,9
360,1424,26.7,61
582,862,29.9,43
757,1489,9.3,59
113,1200,22.5,5
125,1449,-28.4,35
268,1247,13.7,35
382,1559,-13.7,30
205,821,-33.9,5
122,1228,16.3,19
230,1343,-31,58
333,1233,12,11
361,1550,16.6,17
457,817,-23.5,75
631,691,7.5,95
373,784,26.1,15
884,1722,-27.6,64
180,1110,21.5,43
649,1425,-8.8,85
814,881,-16.7,39
894,841,-33.8,66
308,656,-2.8,37
244,771,15.1,90
307,1684,-13.9,74
225,613,26.4,58
541,722,-36.2,79
145,1725,39.6,21
544,689,25.7,72
768,646,-38.2,32
814,691,-8.5,3
896,1167,-6.2,44
672,642,-3,33
197,950,-27.5,94
852,1572,-17.6,41
775,919,21.2,80
352,1374,36.7,17
599,1644,24.9,18
958,1279,-21.2,8
491,801,-20.3,37
681,1098,-11.8,33
168,1365,37.6,56
794,835,-11.5,14
803,1706,-23.5,48
137,686,-39.9,75
535,1295,37.6,11
692,1445,-17.2,65
777,1106,-12.4,74
217,1435,9.4,47
350,932,-39.2,75
185,886,35.3,73
278,1214,-4.3,18
698,1523,30.5,34
756,1199,27.1,55
976,818,-36.7,35
317,1348,39.8,49
312,1704,-9,45
687,994,15.6,47
950,1196,-32.5,21
958,952,-32.3,8
690,1088,23.6,99
213,940,26.1,89
682,1312,20.4,2
543,611,19.9,42
503,896,21,92
253,682,2.2,59
594,761,12.1,38
624,1054,-9.6,9
586,1762,9.7,15
378,1376,26,91
714,1540,-37,85
328,1473,-35.2,5
859,1296,-14.1,72
203,1021,23.7,51
132,1366,34.5,42
656,790,34.1,95
328,1104,30.4,9
436,668,24.6,69
737,1294,31.5,33
755,877,28.4,29
799,1075,40.1,23
804,809,34.7,99
405,1469,7.1,96
275,1269,-24.6,31
508,1632,-35.7,24
716,882,-34.5,13
162,1388,14.2,37
165,1640,18.8,76
148,1328,20.4,38
244,1637,13.3,54
687,1518,-33,14
329,1168,-14.6,53
819,1292,28.1,54
730,1775,16,13
801,677,-0.8,69
400,1482,-8.8,20
221,1257,-39.8,63
