godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
308,615,-39.6,61
965,1325,37.7,85
956,1384,-33.3,90
813,1688,33.1,44
710,956,-36.5,100
356,1056,-31.8,8
622,1168,-34.2,34
409,1057,24.9,85
969,687,-23.3,76
416,623,-15.9,79
816,968,27,19
791,704,-11.9,28
400,1197,19.3,54
238,1325,31.7,99
559,920,-25.7,29
870,905,37,62
324,944,-23.6,45
266,1513,-13.4,64
666,794,-0.3,91
779,1224,29,20
234,1714,14.5,97
691,1654,20.1,48
963,1264,13,34
119,1577,17.3,15
943,715,35.9,2
148,640,-1.9,94
769,611,-22.9,43
858,962,-33.2,24
672,894,7.6,41
919,1266,28.9,20
589,617,10.3,62
470,1601,28,100
863,1570,10.9,17
809,1606,-1,62
851,702,-25.7,50
444,1571,24.2,75
852,1683,38.8,54
828,1460,-5.1,53
998,841,-37.2,33
657,1442,-13.1,38
774,1471,40.7,61
935,713,-4.3,78
996,1587,-3.4,24
890,625,-29.9,39
425,1222,36.6,9
777,702,22.7,16
626,1729,36.6,63
779,1641,25.5,88
289,1001,-24.5,2
936,1395,40.9,18
705,855,25.6,41
245,1392,27.5,35
303,772,14.2,2
403,797,30.5,33
761,1090,27.2,25
411,1226,39.5,73
818,1774,23.2,89
849,1486,36.5,20
956,1588,-39.4,76
846,1254,-36.6,13
427,919,-22.6,84
223,754,1.6,82
965,1251,24.5,92
170,1189,-32.3,50
779,1438,40.4,36
955,748,-14.6,70
277,1115,4.4,9
982,1475,-21.1,58
311,613,36.4,52
831,1723,36.4,45
455,1592,-10.3,72
248,931,-17.2,89
774,1321,9.6,29
915,1791,-12.3,2
582,1552,-2.1,50
615,1729,-37.4,100
840,1791,-29.3,70
959,1242,-33.8,66
394,1669,37,41
342,1036,17.1,24
717,1175,4.6,38
293,1774,37.1,72
846,1075,-15.4,96
412,1237,-37.2,95
566,916,-24,3
753,1169,24.8,59
301,1642,-29.4,37
602,1050,3.3,78
182,651,-26.1,41
308,1695,37.1,81
927,1326,-4.9,30
505,1057,-3,84
141,1275,32.1,35
362,1575,-35,29
131,1614,14.4,45
562,1121,-33.5,88
324,928,-22.9,6
228,1312,-6,28
281,614,15,1
728,688,-38.2,40
833,1408,23.7,14
239,1664,-35.6,87
347,1095,16.6,69
666,1419,16.5,45
154,1638,31.4,9
118,1246,38.4,94
614,1606,22.9,4
987,971,17.4,4
319,1351,-21.2,73
550,755,32.4,97
979,1492,18.9,10
102,1780,-36.2,50
909,624,31.1,95
384,875,-16.7,67
396,837,-8.5,49
847,1638,4.6,2
477,977,-10.9,73
481,1198,26.2,46
710,1467,-37,71
815,1509,29.2,16
815,752,16,53
521,1190,35.6,3
226,1203,-11.3,52
650,869,-19.9,30
135,754,1.8,31
921,1780,34,82
468,789,-4.6,37
929,1116,-35.7,61
607,877,-22.9,24
394,1026,30.2,90
506,1717,11.9,97
132,1214,9.8,44
663,935,-7,76
907,1602,-34.4,91
939,1676,-32.7,46
145,808,13.8,83
814,818,8.6,43
585,1742,12.7,18
702,993,7.1,94
497,1544,11.4,4
338,946,10.7,92
947,712,-0.1,18
257,1509,22.9,60
965,1683,37.8,31
122,1761,-23.8,70
898,1526,35.8,90
368,872,-31.4,95
639,929,20.6,1
275,1159,-9.2,52
586,1365,-10.2,26
245,896,-8.8,38
742,804,15.2,57
268,731,8.8,85
580,753,-24.7,11
863,1641,39.7,74
927,826,-8.9,63
920,617,17.8,56
862,1415,-10.6,53
284,1115,23.3,79
867,1070,21.8,59
942,653,4.1,93
366,1675,17.2,94
391,1192,26.3,40
920,1773,-33.4,15
555,914,40.5,4
259,1619,-9.8,72
910,1010,-11.8,40
454,1229,33.9,40
728,646,10.9,47
271,600,-18.8,74
324,1402,30.2,93
450,757,-37,44
641,989,-9,2
694,1452,-22.2,64
908,1249,26.6,29
612,1648,35.9,76
959,784,-12.3,52
814,1122,8.5,10
369,1558,26.5,88
762,1480,15,57
347,1261,7,79
621,1690,-3.3,27
649,750,-5.8,57
166,725,-35.8,67
685,1776,-37.1,83
293,782,-31.5,85
982,644,-8.9,41
898,819,8.4,85
156,675,35.7,34
223,1770,-9.9,93
348,1585,-38.3,98
364,1724,35.7,89
866,1254,-35.7,8
573,1025,16.3,67
181,1315,-3.1,49
288,1357,-9.4,25
833,1450,28.6,13
728,1367,17.5,69
923,1598,1.2,65
563,776,9.5,2
252,642,-39.3,88
801,1323,0.8,66
584,1398,-2.2,97
366,1425,-2,21
578,645,-26,21
683,1400,25.7,49
105,1492,10.1,27
831,905,-1.9,26
307,893,8,3
241,1112,31.9,70
605,731,7.8,8
883,656,-5.9,90
567,1002,-27.8,19
710,1439,-33.6,50
962,1512,-26.9,15
654,990,-18.5,7
200,979,19.7,41
362,690,-35.5,46
535,681,14,70
226,848,38.1,76
690,1391,19.1,31
548,1541,-24,82
136,603,-9.3,83
404,1504,32.8,60
665,1418,26.4,13
350,1553,26.5,35
373,1658,16.4,51
633,1780,-32.8,36
413,1464,1.7,69
222,1081,-15.4,28
350,1627,24.9,56
645,1510,-2.5,14
508,605,32.7,90
671,1403,-29.3,83
726,1195,34.2,97
945,980,-36.4,38
958,1632,27.9,7
102,1091,-22.7,29
836,650,34.6,84
422,1207,8.7,43
722,1554,38.9,76
166,1034,19.3,31
788,1441,34,46
400,1260,-38.8,16
783,1027,21,50
388,795,-22.1,39
588,1601,7.2,28
746,1524,-16,83
235,1633,29.6,94
910,1077,0.1,65
228,1449,-10.5,70
207,1726,10.4,36
672,939,-10.3,80
343,1575,-36.7,59
177,1315,-32.1,74
964,1028,-21.1,40
306,635,-27.2,56
229,908,-15.8,6
302,702,22.3,61
681,1783,-12.3,14
716,1101,-29.7,25
730,794,32.5,12
715,1637,9.4,65
520,1498,17.3,55
844,1463,-16.2,86
333,614,-22.4,99
572,1482,36.7,29
512,1436,32.1,50
690,1087,-23.6,29
448,1080,13.5,36
442,1441,-2,15
191,1669,-22.1,67
548,1148,3.9,73
856,1308,-13.7,40
602,1614,11,96
117,1027,-5.5,74
231,775,11.3,84
323,1201,-27.9,48
448,1519,34.7,16
682,1795,-39.8,55
821,689,11.6,59
241,1440,12.6,31
945,1466,3.3,61
757,1698,5.9,87
367,1466,7,74
979,1177,-8.1,29
823,1586,-38.2,97
303,622,-28.9,32
384,691,22.5,94
934,1568,10.2,86
701,710,39.4,95
439,1482,13.8,54
790,852,-23.4,11
316,905,2.4,13
226,1711,39.6,75
364,1354,-14.7,96
785,1304,-25.4,27
301,626,-15.2,21
