godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
442,1750,-36,22
756,1344,4.6,78
113,1491,33.8,8
454,716,-5.4,55
188,1495,15,41
905,1671,-37.2,25
616,1645,16.6,52
694,1354,-20.3,91
394,1539,31.5,26
840,768,-11,63
956,1116,30.7,76
383,902,-25,34
658,1158,3.4,53
428,692,6,41
492,1506,2.2,92
158,735,-38.2,53
218,1002,-10.3,97
815,1078,-18.8,33
881,727,-19.2,55
475,1796,-32.6,3
673,1762,28.4,29
341,1412,-35.1,72
881,1384,-31.1,63
268,993,-24.2,40
283,941,-27.3,29
442,1598,0.2,10
635,663,-31.8,68
686,1390,-8.9,71
534,724,37.9,99
584,1779,0.7,1
644,1101,-13.9,80
212,1492,-31.8,11
270,741,28.7,55
603,1412,21.5,90
722,825,38.8,85
148,1329,-5.1,38
432,1245,-0.1,2
901,1315,37.8,40
534,636,-3.7,89
941,1618,1.8,63
945,1597,40.4,8
763,861,16,2
294,889,-34.1,88
299,1401,16.8,15
486,849,-7.6,85
374,1192,19.5,13
188,1314,-26.2,28
701,1444,-20.4,9
533,707,23.4,97
258,1282,-31.4,91
671,916,2.5,7
803,1288,22.4,68
178,714,-29.7,26
294,1764,-8,23
323,609,-33,46
962,1675,35.6,36
384,969,8.4,51
833,1756,-0.7,96
958,1097,13.2,95
124,1285,-1.7,71
303,1629,-31.9,59
666,654,-21.2,18
108,896,-11.5,79
723,1086,-11.5,8
602,905,26,52
529,653,-2.3,45
644,1295,1.7,29
465,1386,40.5,82
720,1340,-21.5,58
694,1080,3.5,91
592,1792,19.7,76
733,651,6.2,13
338,635,5.3,61
419,1123,-3.7,83
875,1196,10.3,90
279,961,16.8,31
758,899,-12.3,98
925,646,24.9,79
922,1353,-35.3,18
817,1541,-3.8,26
646,1345,-36.7,46
554,943,-21,60
211,1141,37.7,27
831,1386,-16.8,61
849,1634,-32.9,59
695,1099,30.4,24
156,983,6.6,16
665,1075,28.2,78
902,1149,32.5,97
275,724,13.7,6
534,718,16.6,2
965,921,7.9,90
360,725,-33.4,100
516,1259,14.3,50
623,1739,26.5,20
998,1344,26.4,55
259,1387,13.2,87
171,948,10.6,54
369,681,22.3,18
591,1518,-24.7,43
516,1675,-27.9,66
865,1224,4,8
437,1121,7.1,95
641,617,-37.2,89
552,1123,27.7,26
431,1496,24.1,86
973,1229,35,67
583,834,-4.6,12
232,1161,-0.1,55
138,873,12.8,69
938,1115,32.4,66
959,1631,-26.1,7
532,1782,-17.5,62
