godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
480,1528,26.3,31
396,620,23.1,11
171,1682,-7.2,34
907,1207,11,40
173,1055,14.8,57
719,919,16.4,85
382,621,-33.2,96
453,1630,14.2,5
734,656,29.2,81
523,1564,10.6,98
673,1216,-11.4,79
721,1729,-28.6,84
440,1713,0.9,30
765,908,-25.5,98
784,1253,-6.8,54
463,697,-28,53
917,1790,2.5,21
559,1744,-30.4,15
196,1727,-26.3,12
162,1716,-10.8,48
351,1668,35.5,3
246,924,-39.6,69
469,1681,40,50
749,701,34.2,9
499,1468,26.4,27
715,1296,-15.1,91
135,1584,-5.7,1
171,1148,-10.4,20
114,709,-24.6,2
402,990,-26.1,93
588,618,-21.5,92
306,1600,-21.5,88
687,1227,-32.5,84
559,1132,12.3,3
506,1466,36.2,34
511,764,-5.2,92
198,1545,-2.2,37
288,1067,-1.8,25
755,1348,24.7,26
182,1269,-22.7,79
514,1185,-25.7,38
647,1001,-12.8,77
227,921,-9.3,45
819,665,32.5,63
856,1318,-29.4,98
676,1441,16.5,97
594,1154,-11.2,40
827,781,-31.9,58
344,1685,25.5,52
138,754,0.6,24
480,780,-38.5,28
468,1301,-27.7,76
659,1192,-28.2,78
132,1047,-8.6,18
542,1151,-19.9,79
670,1780,28.2,63
596,1266,8.4,70
355,1065,3.5,3
293,1311,-27.5,62
212,1009,28.4,53
115,608,1.3,5
898,1427,24,61
497,1800,18.4,68
343,1189,-26.8,83
206,676,-28.9,74
712,761,39.5,93
689,1529,2.7,57
689,1608,-2.1,7
629,641,40.6,97
778,1179,8.8,75
460,1138,27.7,3
959,658,6.2,26
611,1016,6.6,27
460,1387,-39.3,12
466,695,-3,97
460,1488,-32.4,80
469,608,-10.3,70
200,1026,17.2,11
787,976,18.1,48
521,706,22.1,45
471,1470,28,90
676,837,-34.1,38
413,1273,25.6,44
916,844,-38.8,16
392,1280,26.9,9
706,1008,5.9,13
761,1176,-21,83
228,1735,-36.1,19
445,841,11.8,86
783,1094,39.9,16
251,752,-16.5,44
158,713,38.7,59
791,1579,-31.3,56
668,1670,-33.6,93
296,1493,3,37
544,1740,-10.1,88
218,788,-12,46
180,1711,-26.4,29
613,1766,-13.2,99
236,983,6,35
894,624,2,92
221,659,-5.3,53
315,1452,-1.8,51
484,1020,31.7,20
583,1793,-28.7,43
876,1069,-19.5,14
768,1520,-15.8,86
108,1265,-1.8,34
201,1194,-7.3,24
384,1742,10.4,88
349,1771,-2.7,55
449,959,24,55
179,1511,-17.7,97
946,1266,36,66
488,1379,-32.6,39
222,1671,-0.1,89
444,909,16.2,7
399,1239,18.6,1
328,682,-39.1,28
569,703,-39,54
419,961,-12.2,92
866,1445,35.8,34
