godzina pomiaru,ciśnienie [hPa],temperatura [C],wilgotność [%]
413,1745,2.4,75
238,1295,-34.9,71
368,802,-35.5,12
846,1234,26.5,74
771,985,-12.1,8
242,1401,-26.8,57
165,763,-23.7,15
346,1107,-1.8,57
159,1767,-19.2,81
903,1040,-25.8,68
882,1337,-13.9,78
541,1752,37.7,39
315,1132,27.4,85
551,819,-34.1,83
230,726,10.7,68
892,1332,-22.6,96
999,1622,-1.7,78
945,907,19,55
344,1167,13.2,88
307,1263,12.3,45
760,1419,9.8,66
632,1030,-22.8,17
289,1222,27.5,24
148,1695,-16.9,11
961,991,5.4,55
278,1517,-34.1,49
250,1529,15.8,52
973,1228,22.1,67
773,1143,32.5,96
835,1195,35.7,75
476,1779,-26.2,32
397,935,-13.9,51
100,1117,-32.4,66
530,1722,29.8,82
838,974,2.4,24
255,1578,23.6,7
858,878,-38.2,1
504,675,11.1,31
478,1584,-33.3,38
486,1159,-20.6,94
696,759,27.6,21
290,1133,28.2,59
503,717,-23.2,30
997,1014,32.3,82
331,1293,-12,80
858,1364,-18.9,94
798,1556,-19.2,68
501,742,-6.6,52
427,1100,5.9,71
898,756,-7.9,53
137,821,-3.7,55
1000,1021,17.3,96
340,1792,-37.4,49
413,1495,-20.5,25
153,630,39.6,29
232,1765,-30.8,55
739,1064,-35.9,43
859,606,35.8,24
567,1532,-10.3,63
216,1435,-10.4,92
622,1219,12.6,26
960,640,-34.5,82
151,1169,2.3,82
842,1300,3.9,91
994,1377,-6.6,92
300,1340,19.5,70
881,1286,-12.1,57
201,1445,21.6,80
460,727,-22.3,1
762,729,-34.3,42
812,1229,24.1,76
753,845,16.6,3
375,977,28.4,77
416,1665,16,80
651,1543,-21.4,75
228,1546,-19.9,27
732,1395,16.3,44
837,1607,-0.8,31
142,605,6.9,22
141,1441,-33.8,25
774,1664,-36.8,68
852,1737,9.6,16
364,1682,-30.1,67
960,1519,-15.6,80
753,772,18.4,38
115,712,39.1,41
866,1479,29.2,5
908,1754,22,34
664,1670,3.2,11
601,981,-28,50
853,1253,6.1,20
574,1298,30.1,74
728,1383,-33.6,13
456,1184,25.6,70
144,713,27.6,97
908,1614,-18.7,58
849,945,-25.1,26
253,792,-20.2,35
644,860,-9.5,33
738,1127,33.3,90
100,1188,-30.3,23
894,1536,-39.8,83
176,1569,-24.1,6
608,948,-13.4,59
365,1518,-19.2,69
601,1409,29.3,21
766,1099,10.7,15
260,853,1.9,3
852,701,-16.4,43
645,1534,23,66
756,978,-8.3,48
131,1195,34.9,30
724,1405,38.4,35
360,1046,16.6,68
163,986,16.6,80
288,1309,20.3,58
520,1597,12.8,97
642,1726,38.6,20
296,783,17.1,62
491,1470,25.8,42
676,906,11.7,88
490,614,-32.8,50
261,1461,-9.9,29
853,833,34.3,80
410,681,-34.8,41
137,1525,-27.8,79
161,855,39.8,40
694,1559,17.9,96
312,1662,40.9,31
781,1486,0.7,52
526,1579,-14.5,34
122,1364,20.9,28
478,1553,21.6,92
574,960,-33.9,24
643,1398,39.2,39
712,1330,12.5,15
256,1367,-38.7,41
901,1016,32.7,74
766,1275,-16.1,82
676,1401,25,95
417,911,26.4,53
219,1022,37.9,96
273,1444,10.6,86
589,699,-21.4,73
383,1316,-28.5,37
678,829,-27.5,21
221,1526,-5.1,39
850,1664,-5.6,74
118,1092,8.6,21
566,1354,32.5,51
927,619,-39.2,51
421,1557,16.3,42
687,1164,-23.1,85
328,1039,0.4,25
959,1211,-7.7,23
247,1262,14,23
259,1372,25.3,93
420,1597,0.9,55
931,1694,15.9,67
373,1353,-34.6,51
645,1424,-2.1,80
247,1310,12.5,61
956,1577,-37.8,91
120,827,-1,60
155,1724,14.2,66
153,1540,40.9,92
745,1401,-13.1,76
163,988,17.9,20
205,1560,0.9,77
818,795,25.4,56
701,1155,22.7,96
946,1005,-18.7,55
629,1234,13.6,83
944,657,-19.5,85
754,1169,-38.8,93
463,1444,21.5,4
657,1670,15.9,80
388,1673,-9.7,83
322,1025,-17.2,89
590,1170,-37.8,2
440,1144,-24.6,81
452,1366,-22.8,66
580,1473,-1.8,22
219,1609,-27.7,93
703,1377,-7.5,75
246,1221,-3,35
618,756,39,7
157,753,25.7,30
923,1031,8.3,39
210,1757,13.3,52
778,1675,2.6,1
441,1735,29.4,90
200,1500,22.3,61
431,1356,28,61
822,1748,-23.5,57
295,916,-26.4,51
410,1336,-39.5,59
323,1476,24.3,35
585,1455,3.1,3
929,1596,21.6,22
804,1093,-13.7,16
824,1249,35.3,96
678,651,-2.6,71
308,1222,23.3,73
275,1460,-21.3,37
933,1160,-34.1,80
116,908,25.4,1
947,1259,4.9,52
291,1171,-7.6,85
345,1104,-2.2,10
222,961,-10.1,93
685,1494,-12.1,13
947,1573,-38.5,94
395,1135,-37.2,19
740,866,-19.1,53
837,680,-22.6,77
517,894,-34.9,79
158,877,-38.1,56
236,902,17.2,98
914,1751,-38.8,98
827,1328,21.4,84
132,776,13.3,21
767,660,40.7,77
323,1066,-24.1,68
117,860,4.8,16
449,1464,29.3,7
387,1498,-27.3,94
646,768,20.6,15
701,1552,-13.7,76
795,786,-21.8,84
859,1446,7.6,39
829,1472,-32.6,59
269,1654,-25.3,47
340,840,-38,28
711,792,1.3,36
716,1163,-3.1,51
724,825,10.8,78
695,1274,-29.3,61
455,1529,36.8,73
803,1262,8.4,13
425,885,26.5,58
817,1407,-38.4,83
418,1397,9.6,1
958,1241,-34.1,70
138,1304,-20.1,48
205,945,28.7,84
448,781,24,94
710,1261,-17,62
932,611,40.1,78
695,1730,-28.8,83
809,1330,0.8,81
477,829,18.7,35
695,888,-21.2,97
322,1507,8.4,76
202,1443,37.6,46
283,632,2.7,78
557,750,-5.8,54
878,1117,-36.7,43
783,1022,-11,39
381,1639,-11.4,98
821,1117,39.3,67
749,826,-33.9,16
803,1331,-5.8,5
745,1530,-0.3,100
947,1267,-27.9,69
845,835,-30.9,95
467,1039,-38.5,7
507,646,31.2,9
992,1296,34.7,80
910,965,-38.7,67
258,1084,-15.9,29
676,1742,-9.7,99
746,1292,-30.7,84
887,689,-11.5,90
504,851,-39.8,50
228,1228,27.4,54
905,854,-13.3,22
553,1214,-8.6,89
113,1235,-30.1,48
934,1702,-19.4,52
991,1296,11.4,85
849,979,1.1,29
585,1081,-23.4,100
830,1524,23.6,78
764,1228,18,97
974,668,29.6,59
559,856,-14.2,28
968,1052,12.6,76
745,1442,-11.7,53
526,866,-25.6,42
717,1038,-16,3
189,960,29.4,52
170,1416,0,48
986,1073,30.7,51
365,880,24,71
864,1006,-39.4,54
154,1161,5.4,85
211,647,-5.5,94
629,1142,-15.7,23
758,925,35.4,11
737,771,-26,37
516,1279,-37.2,44
264,1683,-24.1,34
912,1462,10.6,26
666,1281,9.2,39
478,1261,-37.1,13
957,891,-22.7,36
789,814,-27.2,46
952,1428,33.1,22
663,1084,-36.6,58
849,974,-20.9,6
129,744,-12.3,28
457,950,-3.9,12
848,1402,-26.7,53
957,1679,10.7,70
648,936,34,92
289,1165,24.2,33
903,1409,-29,24
782,777,14.4,86
841,1557,-35.2,15
141,1665,-38.8,57
982,610,-24.3,69
722,1629,5,96
421,1208,-26.9,16
364,1382,10.6,37
852,1746,-34.4,11
885,1370,-32.6,41
440,1278,37.7,23
304,1248,29.3,9
354,1558,35.1,27
650,1182,0.3,32
718,1466,-35.4,46
405,1455,21.5,15
259,957,26.1,59
346,924,-32.4,76
452,983,-38.6,53
838,932,-30,35
857,1551,37.8,1
439,1286,-9.7,19
133,696,21.1,84
120,1099,26.3,15
912,1652,23.2,68
234,1457,21.4,95
316,1644,-27.3,13
873,918,9,7
736,1064,15.1,33
814,1127,-30.3,58
352,1450,26.5,50
217,1509,13.9,33
705,737,-29.7,57
756,751,-37.8,48
935,1295,-39.2,72
358,1614,-6.6,96
494,1763,-37.7,45
601,1247,-22.8,62
707,1164,1,74
246,843,-10.9,38
906,1570,-29.1,49
553,1498,4.4,9
575,1459,14.3,68
357,680,-29.2,85
479,1405,-39.2,69
195,1160,33,47
930,733,5.7,42
114,1508,-29,23
883,1002,9.9,49
629,682,-9.1,52
685,1412,9.5,62
265,1124,-7.8,89
562,968,-34.7,59
511,613,20.5,6
761,1113,-5.1,43
473,1602,-17.9,97
574,729,21.1,98
651,825,-17.2,80
710,1355,24.2,52
201,1560,-26.6,47
488,797,19.3,71
850,1218,-30,90
526,1306,12.1,97
543,862,2.3,98
872,1480,24.7,75
591,1676,1.4,73
299,863,0.6,96
839,829,-3.8,67
544,1473,-14.6,70
464,916,19,94
530,1474,8.2,10
124,1583,29.5,67
910,1667,20.7,11
182,1533,22.8,85
872,1177,35.2,3
112,1480,-34.1,71
729,1720,23.6,35
340,1579,-33.8,93
898,687,-29.3,50
137,1495,27.9,44
240,1488,-33.3,28
253,1268,-2.1,60
158,941,-27.1,97
729,1332,-30.2,27
151,1241,-24.4,84
307,1497,-16.5,54
176,1205,18.2,20
643,1108,-4.7,90
153,1462,25.8,36
207,1517,39.5,45
787,1664,-22.9,24
342,1574,29.6,43
281,893,-31.7,90
133,847,-8.1,33
158,1732,19.3,41
522,1445,-26.1,77
643,1026,9.9,7
327,1221,12.3,18
747,761,-7.9,12
495,665,-4.2,37
746,1559,-14,12
700,668,18.9,5
249,1225,-11.8,2
768,1606,-26.1,31
348,1182,-39.8,28
578,841,34.2,70
653,1289,-20.8,30
739,1014,34,74
237,927,26.8,77
292,616,-12,76
756,1048,7.1,49
954,1241,18.8,84
694,1441,-16.1,22
131,1474,37.8,66
998,1694,-1,73
322,1312,-35.4,77
171,805,6.3,28
109,881,-33.7,53
861,1789,-10.9,45
202,638,-22.2,44
193,1491,3.6,95
800,666,-33.2,12
615,607,-30.9,68
503,805,-25.9,80
881,1202,-16,1
356,1741,-27.5,79
126,1102,29.7,55
699,1693,7.4,22
101,1679,-38,54
897,894,-9,64
403,847,30,53
927,1029,30.9,61
692,1300,-23,72
131,1799,-39.7,76
453,1770,2.2,42
318,998,-5.5,15
940,1214,19.9,70
939,1198,32,28
416,1294,-17.6,13
960,913,-29.1,19
889,1161,-18.2,21
293,834,4.1,20
165,860,16.7,64
463,1553,-26.9,44
568,963,-28.2,10
120,1032,36,48
221,835,-11.2,88
596,832,-17.4,18
701,900,39.4,100
223,1012,-13,78
622,1439,-28.4,58
405,869,21.3,24
663,1255,9.5,7
219,1160,-21.4,53
363,1045,-29.1,89
386,1544,21.3,19
509,1378,12.7,75
824,1672,1.9,36
898,1715,35.9,23
867,689,-21.1,30
646,1163,-16.6,21
453,1206,-23.3,65
373,1564,-35.8,22
133,1101,-25,58
515,1592,36,64
881,1066,-39.1,12
840,1199,-37,9
650,1157,-14,63
323,1518,-32.2,61
349,1401,8.8,25
760,1194,-39.8,95
251,1163,0.3,66
221,805,-11.4,88
107,1603,-27.4,32
613,1371,21.6,33
142,818,31.6,75
588,1353,-27.6,87
533,1600,-24.1,22
562,817,37.7,72
197,761,30.1,86
894,1166,-6.6,4
617,1312,19,50
441,1545,4.6,52
991,650,-21.3,29
246,1784,23.8,44
687,1146,17.1,76
839,1077,31.6,71
636,1078,29.4,55
970,1067,19.6,32
418,1628,18.4,85
772,672,29.7,100
616,1773,27,74
602,878,-31.9,51
543,1368,13.9,76
175,1268,-17.7,12
821,1610,8.1,60
941,1099,-2.9,11
118,1411,37.5,60
445,1209,-29.2,24
633,1403,-34.7,46
459,731,33.8,70
618,970,-29.5,91
176,889,-33.6,12
231,863,36.1,44
102,1774,-6.8,37
550,832,-16.8,2
921,1348,-28.4,67
584,695,34.1,19
141,1439,-0.7,21
679,842,-2.8,58
126,1790,9.8,15
729,1340,-37.9,86
569,1755,21.3,50
524,1320,-27.6,50
399,968,24.7,83
648,1614,17.5,98
174,1665,-39.1,75
689,917,38.3,17
827,1636,21.8,84
419,1148,10.7,55
556,1260,40.9,58
335,715,5.9,63
484,837,32,41
903,1435,6.2,80
547,1469,6.7,6
270,1582,35.7,26
515,1029,34.6,93
370,1043,-9.8,2
160,1111,15.8,86
180,757,39.3,42
709,1718,6,71
110,1036,-25.3,39
927,733,-19.9,97
398,652,-15.7,63
500,817,-7.3,66
712,1386,25.9,25
640,815,4.5,35
222,1310,-26.2,46
656,1481,-4.1,7
532,1522,24.6,59
958,980,-36.5,54
250,840,-21.5,19
218,1273,25.4,41
123,1763,4.6,26
446,1196,38.1,87
211,1019,7.6,27
485,1703,-20.2,15
912,944,13.6,52
776,1459,32.9,21
971,814,29.3,88
297,777,39.2,69
806,1242,2,80
182,1765,18.2,31
240,1513,-23.8,6
906,1319,-11,7
140,1713,-38.4,28
765,695,-37,78
484,1152,-28,72
756,1645,1,74
511,1320,-21.1,55
372,1428,-9.6,49
913,641,32,93
156,1205,-3.9,58
693,1703,-28.8,16
931,1598,16.6,68
674,1375,23.2,50
610,1153,-1.7,31
979,1702,-39.1,98
229,1586,-25.6,15
